derived_word,origin_w,chapter,deck,meaning,example,viewed,status
Stimulate,inspire,3,2,Raise levels of physiological or nervous activity in (the body or any biological system),The government plans to cut taxes in order to stimulate the economy.,0,0
Domination,inspire,3,2,"The exercise of power or influence over someone or something, or the state of being so controlled.",He refuses to let others speak and dominates every meeting.,0,0
Origin,inspire,3,2,"The point or place where something begins, arises, or is derived.",It's a book about the origin of the universe.,0,0
Persuade,inspire,3,2,Induce (someone) to do something through reasoning or argument.,"If she doesn't want to go, nothing you can say will persuade her.",0,0
Benevolence,generosity,3,2,The quality of being well meaning; kindness.,He was a benevolent old man and wouldn't hurt a fly.,0,0
Benison,generosity,3,2,A blessing.,"If you can find blessedness, my benison is that I can see you will be happy in faraway country.",0,0
Courtesy,generosity,3,2,The showing of politeness in one's attitude and behaviour towards others.,You might get along better with your parents if you showed them some courtesy.,0,0
Hospitality,generosity,3,2,"The friendly and generous reception and entertainment of guests, visitors, or strangers.",The local people showed me great hospitality.,0,0
Philanthropy,generosity,3,2,"The desire to promote the welfare of others, expressed especially by the generous donation of money to good causes.",He argues that corporate philanthropy transforms the culture of the firm concerned.,0,0
Encourage,restore,3,2,"Give support, confidence, or hope to (someone)",We were encouraged to learn foreign languages at school.,0,0
Invigorate,restore,3,2,Give strength or energy to.,We were invigorated by our walk.,0,0
Modernize,restore,3,2,"Adapt (something) to modern needs or habits, typically by installing modern equipment or adopting modern ideas or methods.",Much of the house has been modernized.,0,0
Reclaim,restore,3,2,"Retrieve or recover (something previously lost, given, or paid); obtain the return of.",You'll be able to reclaim the tax on all equipment that you buy.,0,0
Reconstruct,restore,3,2,Build or form (something) again after it has been damaged or destroyed.,The post-war government had the enormous task of reconstructing the city.,0,0
Recover,restore,3,2,"Return to a normal state of health, mind, or strength.",It took her a long time to recover from/after her heart operation.,0,0
Reestablish,restore,3,2,Establish (something) again or anew.,Our new digital camera range has helped us re-establish our position in this important market.,0,0
Reform,restore,3,2,"Make changes in (something, especially an institution or practice) in order to improve it.",Who will reform our unfair electoral system ?,0,0
Rehabilitate,restore,3,2,"Restore (someone) to health or normal life by training and therapy after imprisonment, addiction, or illness.",The prison service should try to rehabilitate prisoners so that they can lead normal lives when they leave.,0,0
Reimburse,restore,3,2,Repay (a person who has spent or lost money),The airline reimbursed me for the amount they had overcharged me.,0,0
Reinstate,restore,3,2,Restore (someone or something) to their former position or state.,"A month after being unfairly dismissed, he was reinstated in his job.",0,0
Rejuvenate,restore,3,2,"Make (someone or something) look or feel better, younger, or more vital.",She felt rejuvenated by her fortnight in the Bahamas.,0,0
Remodel,restore,3,2,"Change the structure or form of (something, especially a building)",We've completely remodelled the kitchen.,0,0
Renovate,restore,3,2,"Restore (something old, especially a building) to a good state of repair.",He renovates old houses and sells them at a profit.,0,0
Replenish,restore,3,2,Fill (something) up again.,Food stocks were replenished by/with imports from abroad.,0,0
Reseat,restore,3,2,Cause (someone) to sit down again after they have risen.,"After you install the new floor, you will need to remove the old wax seal under the toilet, install a new wax seal, and reseat the toilet.",0,0
resuscitate,restore,3,2,Revive (someone) from unconsciousness or apparent death.,"Her heart had stopped, but the doctors successfully resuscitated her.",0,0
Retrieve,restore,3,2,Get or bring (something) back from somewhere.,We taught our dog to retrieve a ball.,0,0
Rebuild,restore,3,2,Build (something) again after it has been damaged or destroyed.,The cathedral was completely rebuilt in 1425 after it had been destroyed by fire.,0,0
Salvage,restore,3,2,Rescue (a wrecked or disabled ship or its cargo) from loss at sea.,gold coins salvaged from a shipwreck,0,0
Abdicate,deny,3,3,(of a monarch) renounce one's throne.,King Edward VIII abdicated (the British throne ) in 1936.,0,0
Abstain,deny,3,3,Restrain oneself from doing or enjoying something.,He took a vow to abstain from alcohol / smoking sex.,0,0
Cede,deny,3,3,Give up (power or territory),Hong Kong was ceded to Britain after the Opium War.,0,0
Discard,deny,3,3,Get rid of (someone or something) as no longer useful or desirable.,Discarded food containers and bottles littered the streets.,0,0
Disown,deny,3,3,Refuse to acknowledge or maintain any connection with.,It's a story set in the last century about a girl whose parents disowned her when she married a foreigner.,0,0
Eschew,deny,3,3,Deliberately avoid using; abstain from.,We won't have discussions with this group unless they eschew.,0,0
Forego,deny,3,3,Precede in place or time.,If she doesn't handle herself correctly she will forego any chance of holding a national office in the future.,0,0
Forgo,deny,3,3,Go without (something desirable),I shall have to forgo seeing you this week.,0,0
Forswear,deny,3,3,Agree to give up or do without.,to forswear all violence,0,0
Recant,deny,3,3,"Say that one no longer holds an opinion or belief, especially one considered heretical.","After a year spent in solitary confinement, he publicly recanted (his views ).",0,0
Relinquish,deny,3,3,Voluntarily cease to keep or claim; give up.,He has relinquished his claim to the throne.,0,0
Repudiate,deny,3,3,Refuse to accept; reject.,He repudiated the allegation / charge claim that he had tried to deceive them.,0,0
Retract,deny,3,3,Draw or be drawn back or back in.,retract an invitation / confession promise,0,0
Revoke,deny,3,3,"Officially cancel (a decree, decision, or promise)",The authorities have revoked their original decision to allow development of this rural area.,0,0
Vacate,deny,3,3,Leave (a place that one previously occupied),Hotel guests are requested to vacate their rooms by noon.,0,0
Waive,deny,3,3,Refrain from insisting on or using (a right or claim),"The bank manager waived the charge, as we were old and valued customers.",0,0
Disapprove,deny,3,3,Have or express an unfavourable opinion.,"The survey showed that 32 percent of respondents approve, 54 disapprove, and the rest are undecided.",0,0
Embargo,deny,3,3,An official ban on trade or other commercial activity with a particular country.,They have put an embargo on imports of clothing.,0,0
Injunction,deny,3,3,An authoritative warning or order.,The court has issued an injunction to prevent the airline from increasing its prices.,0,0
Refusal,deny,3,3,An act of refusing to do something.,Our request for permission to travel a refusal from the authorities.,0,0
Veto,deny,3,3,A constitutional right to reject a decision or proposal made by a lawmaking body.,The president has the veto over any bill that comes across his desk.,0,0
Disallow,deny,3,3,Refuse to declare valid.,All protests have been disallowed in the city.,0,0
Accomplish,achieve,3,3,Achieve or complete successfully.,The students accomplished the task in less than ten minutes.,0,0
Enact,achieve,3,3,Make (a bill or other proposal) law.,A package of economic sanctions is to be enacted against the country.,0,0
Operate,achieve,3,3,"(of a person) control the functioning of (a machine, process, or system)",How do you operate the remote control unit ?,0,0
Accumulate,achieve,3,3,Gather together or acquire an increasing number or quantity of.,"As people accumulate more wealth, they tend to spend a greater proportion of their incomes.",0,0
Acquisition,achieve,3,3,"An asset or object bought or obtained, typically by a library or museum.",The acquisition of huge amounts of data has helped our research enormously.,0,0
Benefit,achieve,3,3,An advantage or profit gained from something.,The discovery of oil brought many benefits to the town.,0,0
Perform,achieve,3,3,"Carry out, accomplish, or fulfil (an action, task, or function)",Computers can perform a variety of tasks.,0,0
Accept,get,3,3,Consent to receive or undertake (something offered),Do you accept credit cards ?,0,0
Acquire,get,3,3,Buy or obtain (an asset or object) for oneself.,He acquired the firm in 2008.,0,0
Came,get,3,3,"Each of a number of strips forming a framework for enclosing a pane of glass, especially in a leaded window.",,0,0
Garrote,get,3,3,"Kill (someone) by strangulation, especially with a length of wire or cord.",,0,0
Proceed,get,3,3,Begin a course of action.,His lawyers have decided not to proceed with the case.,0,0
Succeed,get,3,3,Achieve the desired aim or result.,She's been trying to pass her driving test for six years and she's finally succeeded.,0,0
Isolate,remove,4,1,Cause (a person or place) to be or remain alone or apart from others.,A high wall isolated the house from the rest of the village.,0,0
Oust,remove,4,1,Drive out or expel (someone) from a position or place.,The president was ousted ( ) in a military coup in January 1987,0,0
Transplant,remove,4,1,Move or transfer (someone or something) to another place or situation.,"The plants should be grown indoors until spring, when they can be transplanted outside.",0,0
Eradicate,remove,4,1,Destroy completely; put an end to.,The government claims to be doing all it can to eradicate corruption.,0,0
Amputate,remove,4,1,Cut off (a limb) by surgical operation.,They had to amputate his foot to free him from the wreckage.,0,0
Boycott,remove,4,1,"Withdraw from commercial or social relations with (a country, organization, or person) as a punishment or protest.",People were urged to boycott the country's products.,0,0
Disconnect,remove,4,1,Break the connection of or between.,Never try to fix a broken machine without disconnecting it from the electricity supply.,0,0
Terminate,remove,4,1,Bring to an end.,They terminated my contract in October.,0,0
Eliminate,remove,4,1,Completely remove or get rid of (something),A move towards healthy eating could help eliminate heart disease.,0,0
Disappear,remove,4,1,Cease to be visible.,The search was called off for the sailors who disappeared in the storm.,0,0
Extradite,remove,4,1,Hand over (a person accused or convicted of a crime) to the jurisdiction of the foreign state in which the crime was committed.,He will be extradited to Arizona from Florida.,0,0
Liberate,remove,4,1,"Set (someone) free from imprisonment, slavery, or oppression.",They said they sent troops in to liberate the people /the country from a dictator.,0,0
Disparage,remove,4,1,Regard or represent as being of little worth.,The actor's work for charity has recently been disparaged in the press as an attempt to get publicity.,0,0
Dispel,remove,4,1,"Make (a doubt, feeling, or belief) disappear.",I'd like to start the speech by dispelling a few rumours that have been spreading recently.,0,0
Eject,remove,4,1,Force or throw (something) out in a violent or sudden way.,A number of fans had been ejected from the bar for causing trouble.,0,0
Evict,remove,4,1,"Expel (someone) from a property, especially with the support of the law.",Tenants who fall behind in their rent risk being evicted.,0,0
Exonerate,remove,4,1,(of an official body) absolve (someone) from blame for a fault or wrongdoing.,The report exonerated the crew from all responsibility for the collision.,0,0
Cull,remove,4,1,Reduce the population of (a wild animal) by selective slaughter.,The plan to cull large numbers of baby seals has angered environmental groups.,0,0
Distill,remove,4,1,"Purify (a liquid) by heating it so that it vaporizes, then cooling and condensing the vapour and collecting the resulting liquid.",distilled water / whiskey,0,0
Elicit,remove,4,1,"Evoke or draw out (a reaction, answer, or fact) from someone.",Have you managed to elicit a response from them yet ?,0,0
Extort,remove,4,1,"Obtain (something) by force, threats, or other unfair means.",He had been extorting money from the old lady for years.,0,0
Extricate,remove,4,1,Free (someone or something) from a constraint or difficulty.,It took hours to extricate the car from the sand.,0,0
Wrest,remove,4,1,Forcibly pull (something) from a person's grasp.,The shareholders are planning to wrest control of the company (away) from the current directors.,0,0
Avert,remove,4,1,Turn away (one's eyes or thoughts),to avert a crisis / conflict strike famine,0,0
Disqualify,remove,4,1,"Declare (someone) ineligible for an office, activity, or competition because of an offence or infringement.",Two top athletes have been disqualified from the championship after positive drug tests.,0,0
Foreclose,remove,4,1,Take possession of a mortgaged property when the mortgagor fails to keep up their mortgage payments.,The bank is threatening to foreclose on the family's house.,0,0
Forfend,remove,4,1,Avert or prevent (something evil or unpleasant),"Is it not rather the blind brute instinct of self-protection, forfend what may?",0,0
Obviate,remove,4,1,Remove (a need or difficulty),A peaceful solution would obviate the need to send a UN military force.,0,0
Agile,buoyant,4,1,Able to move quickly and easily.,Monkeys are very agile climbers.,0,0
Ebullient,buoyant,4,1,Cheerful and full of energy.,He wasn't his usual ebullient self.,0,0
Festal,buoyant,4,1,Relating to or characteristic of a celebration or festival.,The whole town is in a festal mood.,0,0
Insuppressible,buoyant,4,1,"Incapable of being suppressed, overcome, or muffled",The insuppressible alertness and enterprise of his own mind tells upon his portrayal of these intense moments.,0,0
Irrepressible,buoyant,4,1,Not able to be controlled or restrained.,Even the rain failed to dampen his irrepressible spirits.,0,0
Jovial,buoyant,4,1,Cheerful and friendly.,He seemed a very jovial guy.,0,0
resilient,buoyant,4,1,(of a person or animal) able to withstand or recover quickly from difficult conditions.,She's a resilient girl - she won't be unhappy for long.,0,0
Sanguine,buoyant,4,1,"Optimistic or positive, especially in an apparently bad or difficult situation.",They are less sanguine about the prospects for peace.,0,0
Volatile,buoyant,4,1,(of a substance) easily evaporated at normal temperatures.,Food and fuel prices are very volatile in a war situation.,0,0
Baritone,fantastic,4,2,An adult male singing voice between tenor and bass.,"He sang in a deep, rich baritone.",0,0
Memorable,fantastic,4,2,"Worth remembering or easily remembered, especially because of being special or unusual.",a memorable performance,0,0
Potent,fantastic,4,2,"Having great power, influence, or effect.",Surprise remains the terrorists  most potent weapon.,0,0
Imaginary,fantastic,4,2,Existing only in the imagination.,As a child I had an imaginary friend.,0,0
Phenomenal,fantastic,4,2,"Remarkable or exceptional, especially exceptionally good.",Her rise to fame was quite phenomenal - in less than two years she was a household name.,0,0
Prodigious,fantastic,4,2,"Remarkably or impressively great in extent, size, or degree.",She wrote a truly prodigious number of novels.,0,0
Transcendent,fantastic,4,2,Beyond or above the range of normal or physical human experience.,transcendent power / beauty love,0,0
Tremendous,fantastic,4,2,"Very great in amount, scale, or intensity.",They were making a tremendous amount of noise last night.,0,0
Concede,grant,4,2,Admit or agree that something is true after first denying or resisting it.,The government has conceded (that) the new tax policy has been a disaster.,0,0
Concession,grant,4,2,"A thing that is granted, especially in response to demands.",Both sides involved in the conflict made some concessions in yesterday's talks.,0,0
Contribution,grant,4,2,A gift or payment to a common fund or collection.,"All contributions, no matter how small, will be much appreciated.",0,0
Donate,grant,4,2,"Give (money or goods) for a good cause, for example to a charity.",An anonymous businesswoman donated one million dollars to the charity.,0,0
Empower,grant,4,2,Give (someone) the authority or power to do something.,This amendment empowers the president to declare an emergency for a wide range of reasons.,0,0
Pension,grant,4,2,A regular payment made by the state to people of or above the official retirement age and to some widows and disabled people.,a government pension,0,0
Eminent,outstanding,4,2,(of a person) famous and respected within a particular sphere.,an eminent historian,0,0
Excellent,outstanding,4,2,Extremely good; outstanding.,The food was excellent.,0,0
Leonine,outstanding,4,2,Of or resembling a lion or lions.,"Say so, the lion, should have leonine vivid law and look.",0,0
Magnificent,outstanding,4,2,"Extremely beautiful, elaborate, or impressive.",a magnificent view,0,0
Paramount,outstanding,4,2,More important than anything else; supreme.,"There are many priorities, but reducing the budget deficit is paramount/is of paramount importance.",0,0
Principal,outstanding,4,2,First in order of importance; main.,Iraq's principal export is oil.,0,0
Prominent,outstanding,4,2,Important; famous.,a prominent Democrat,0,0
Sterling,outstanding,4,2,British money.,The value of sterling increased against several other currencies yesterday.,0,0
Successful,outstanding,4,2,Accomplishing a desired aim or result.,a successful operation,0,0
Superb,outstanding,4,2,Very good; excellent.,He is a superb dancer.,0,0
Superlative,outstanding,4,2,Of the highest quality or degree.,"""Richest"" is the superlative of "" rich "".",0,0
Exemplary,outstanding,4,2,Serving as a desirable model; very good.,"His tact was exemplary, especially considering the circumstances.",0,0
Preferable,outstanding,4,2,More desirable or suitable.,Surely a diplomatic solution is preferable to war.,0,0
Magician,outstanding,4,2,A person with magical powers.,Merlin was the magician in the stories of King Arthur and the Knights of the Round Table.,0,0
Marvel,outstanding,4,2,Be filled with wonder or astonishment.,We paused to marvel at the view.,0,0
Necromancer,outstanding,4,2,A person who practises necromancy; a wizard or magician.,Leonardo da Vinci was thought to be a necromancer due to his extensive knowledge of human anatomy and his study dead bodies.,0,0
Prodigy,outstanding,4,2,A young person with exceptional qualities or abilities.,The 16-year-old tennis prodigy is the youngest player ever to reach the Olympic finals.,0,0
Prowess,outstanding,4,2,Skill or expertise in a particular activity or field.,athletic / sporting prowess,0,0
Glorious,outstanding,4,2,"Having, worthy of, or bringing fame or admiration.",a glorious victory,0,0
Grandiose,outstanding,4,2,"Impressive and imposing in appearance or style, especially pretentiously so.",grandiose schemes / designs ideas for making money,0,0
Ornate,outstanding,4,2,Elaborately or highly decorated.,a room with an ornate ceiling and gold mirrors,0,0
Palatial,outstanding,4,2,Resembling a palace in being spacious and splendid.,They lived in a palatial apartment.,0,0
Resplendent,outstanding,4,2,Attractive and impressive through being richly colourful or sumptuous.,the queen's resplendent purple robes,0,0
Sumptuous,outstanding,4,2,Splendid and expensive-looking.,The celebrity guests turned up dressed in sumptuous evening gowns.,0,0
Incomparable,outstanding,4,2,Without an equal in quality or extent; matchless.,incomparable beauty / skill,0,0
Deplorable,hate,4,3,Deserving strong condemnation; completely unacceptable.,I thought his behaviour was absolutely deplorable.,0,0
Formidable,hate,4,3,"Inspiring fear or respect through being impressively large, powerful, intense, or capable.",a formidable obstacle / task,0,0
Inhuman,hate,4,3,Lacking human qualities of compassion and mercy; cruel and barbaric.,Prisoners of war were subjected to inhuman and degrading treatment.,0,0
Intolerant,hate,4,3,"Not tolerant of views, beliefs, or behaviour that differ from one's own.",She can be very intolerant of students who don't understand what she's talking about.,0,0
obnoxious,hate,4,3,Extremely unpleasant.,Some of his colleagues say that he's loud and obnoxious.,0,0
Resent,hate,4,3,"Feel bitterness or indignation at (a circumstance, action, or person)",She bitterly resented her father's new wife.,0,0
Loathe,hate,4,3,Feel intense dislike or disgust for.,From an early age the brothers have loathed each other.,0,0
Detest,hate,4,3,Dislike intensely.,I detest any kind of cruelty.,0,0
Acrimony,hate,4,3,Bitterness or ill feeling.,an acrimonious dispute,0,0
Animosity,hate,4,3,Strong hostility.,"Of course we're competitive, but there's no personal animosity between us.",0,0
Cynicism,hate,4,3,An inclination to believe that people are motivated purely by self-interest; scepticism.,She has a pretty cynical view of men.,0,0
Enmity,hate,4,3,A state or feeling of active opposition or hostility.,She denied any personal enmity towards him.,0,0
Hostility,hate,4,3,Hostile behaviour; unfriendliness or opposition.,a hostile crowd,0,0
Misanthropy,hate,4,3,A dislike of humankind.,"In much of his work there is a sour, disappointed misanthropy.",0,0
Sarcasm,hate,4,3,The use of irony to mock or convey contempt.,"""You have been working hard,"" he said with heavy sarcasm, as he looked at the empty page.",0,0
Venom,hate,4,3,a poisonous substance secreted by animals.,He was shocked at the sheer venom of her reply.,0,0
Cogent,forceful,4,3,"(of an argument or case) clear, logical, and convincing.",She argued most cogently for a relaxation of the sanctions.,0,0
Decisive,forceful,4,3,Settling an issue; producing a definite result.,You need to be more decisive.,0,0
Drastic,forceful,4,3,Likely to have a strong or far-reaching effect; radical and extreme.,drastic measures,0,0
Effective,forceful,4,3,Successful in producing a desired or intended result.,It's an extremely effective cure for a headache.,0,0
Eloquent,forceful,4,3,Fluent or persuasive in speaking or writing.,She made an eloquent appeal for action.,0,0
Emphatic,forceful,4,3,Expressing something forcibly and clearly.,Poland reached the final of the championship yesterday with an emphatic 5–0 victory over Italy.,0,0
Enthusiastic,forceful,4,3,"Having or showing intense and eager enjoyment, interest, or approval.",One of the good things about teaching young children is their enthusiasm.,0,0
Forcible,forceful,4,3,Done by force.,The police's forcible entry into the building has come under a lot of criticism.,0,0
Insistent,forceful,4,3,Insisting on or demanding something; not allowing refusal.,Greg still insists (that) he did nothing wrong.,0,0
Stringent,forceful,4,3,"(of regulations, requirements, or conditions) strict, precise, and exacting.",The most stringent laws in the world are useless unless there is the will to enforce them.,0,0
Tenacious,forceful,4,3,Tending to keep a firm hold of something; clinging or adhering closely.,The baby took my finger in its tenacious little fist.,0,0
Vehement,forceful,4,3,"Showing strong feeling; forceful, passionate, or intense.","Despite vehement opposition from his family, he quit school and became an actor.",0,0
Virile,forceful,4,3,"(of a man) having strength, energy, and a strong sex drive.",She likes her men young and virile.,0,0
Dominant,forceful,4,3,Having power and influence over others.,a dominant military power,0,0
Irresistible,forceful,4,3,Too attractive and tempting to be resisted.,an irresistible offer,0,0
Significant,forceful,4,3,Sufficiently great or important to be worthy of attention; noteworthy.,There has been a significant increase in the number of women students in recent years.,0,0
Collapse,failure,4,3,(of a structure) suddenly fall down or give way.,Thousands of buildings collapsed in the earthquake.,0,0
Deficiency,failure,4,3,A lack or shortage.,Pregnant women often suffer from iron deficiency.,0,0
Demise,failure,4,3,A person's death.,The demise of the company was sudden and unexpected.,0,0
Fiasco,failure,4,3,"A complete failure, especially a ludicrous or humiliating one.",The show was a fiasco - one actor forgot his lines and another fell off the stage.,0,0
Negligence,failure,4,3,Failure to take proper care over something.,medical negligence,0,0
Constellation,system,5,1,A group of stars forming a pattern that is traditionally named after its apparent form or identified with a mythological figure.,At our annual ceremony we had a whole constellation of movie stars and directors.,0,0
Course,system,5,1,"The route or direction followed by a ship, aircraft, road, or river.",They're going away on a training course next week.,0,0
Machinery,system,5,1,Machines collectively.,industrial / farm machinery,0,0
Metaphysics,system,5,1,abstract theory with no basis in reality., All students receive tuition in logic and metaphysics.,0,0
Morphology,system,5,1,The study of the forms of things.,The morphology of the system was simplified in a manner suited to the recognition task.,0,0
Network,system,5,1,An arrangement of intersecting horizontal and vertical lines.,a television network,0,0
Philosophy,system,5,1,"The study of the fundamental nature of knowledge, reality, and existence, especially when considered as an academic discipline.",René Descartes is regarded as the founder of modern philosophy.,0,0
Rationalism,system,5,1,The practice or principle of basing opinions and actions on reason and knowledge.,"Viewed through the lens of material rationalism, this was a clear improvement.",0,0
Regime,system,5,1,"A government, especially an authoritarian one.","The old corrupt, totalitarian regime was overthrown.",0,0
Resource,system,5,1,"A stock or supply of money, materials, staff, and other assets that can be drawn on to function effectively.",The country's greatest resource is the dedication of its workers.,0,0
Technic,system,5,1,Technique.,The change of computer technic has caught many employees off guard.,0,0
Technique,system,5,1,"A way of carrying out a particular task, especially the execution or performance of an artistic work or a scientific procedure.",We have developed a new technique for detecting errors in the manufacturing process.,0,0
Effect,develop,5,1,A change which is a result or consequence of an action or other cause.,The radiation leak has had a disastrous effect on/upon the environment.,0,0
Emergence,develop,5,1,The process of becoming visible after being concealed.,"She emerged from the sea, blue with cold.",0,0
Expansion,develop,5,1,The action of becoming larger or more extensive.,The air in the balloon expands when heated.,0,0
Extension,develop,5,1,A part that is added to something to enlarge or prolong it.,"Martin Luther King, Jr, campaigned for the extension of civil rights to black people.",0,0
Formation,develop,5,1,The action of forming or process of being formed.,a rock formation,0,0
Preferment,develop,5,1,Promotion or appointment to a position or office.,"Not only does he bring the wisdom and good sense of years to his job, he is old enough not to be looking for any preferment.",0,0
Transition,develop,5,1,The process or a period of changing from one state or condition to another.,The health-care system is in transition at the moment.,0,0
Conversion,develop,5,1,The process of changing or causing something to change from one form to another.,Solar power is the conversion of the sun's energy into heat and electricity.,0,0
Sentience,develop,5,1,"the capacity to feel, perceive or experience subjectively",Why are humans not willing to accept the full sentience of other animals ?,0,0
Alter,develop,5,1,"Change in character or composition, typically in a comparatively small but significant way.",We've had to alter some of our plans.,0,0
Augment,develop,5,1,Make (something) greater by adding to it; increase.,He would have to find work to augment his income.,0,0
Consolidate,develop,5,1,Make (something) physically stronger or more solid.,The success of their major product consolidated the firm's position in the market.,0,0
Derive,develop,5,1,Obtain something from (a specified source),The institute derives all its money from foreign investments.,0,0
Emerge,develop,5,1,Move out of or away from something and become visible.,"She emerged from the sea, blue with cold.",0,0
Expand,develop,5,1,Become or make larger or more extensive.,The air in the balloon expands when heated.,0,0
Evolve,develop,5,1,Develop gradually.,Did humans evolve from apes ?,0,0
Revise,develop,5,1,Examine and make corrections or alterations to (written or printed matter),His helpfulness today has made me revise my original opinion / impression of him.,0,0
Acknowledgment,admission,5,1,Acceptance of the truth or existence of something.,All I want is some acknowledgment that his behaviour is unreasonable.,0,0
Apology,admission,5,1,A regretful acknowledgement of an offence or failure.,I have an apology to make to you - I'm afraid I opened your letter by mistake.,0,0
Entree,admission,5,1,The main course of a meal.,She had an entree into the city's culti-vated society.,0,0
Importation,admission,5,1,The bringing of goods or services into a country from abroad for sale.,We import a large number of cars from Japan.,0,0
Introgression,admission,5,1,The transfer of genetic information from one species to another as a result of hybridization between them., One of the main trends of lily breeding is to realize introgression between these groups.,0,0
Embark,admission,5,1,Go on board a ship or aircraft.,We embarked at Liverpool for New York.,0,0
Adversity,calamity,5,2,A difficult or unpleasant situation.,She was always cheerful in adversity.,0,0
Calvary,calamity,5,2,The hill outside Jerusalem on which Christ was crucified.,The Plaza Mayor is dominated by a calvary.,0,0
Casualty,calamity,5,2,A person killed or injured in a war or accident.,"The train was derailed but there were no casualties, police said.",0,0
Cataclysm,calamity,5,2,A large-scale and violent event in the natural world.,These countries are on the brink of cataclysmic famine.,0,0
Catastrophe,calamity,5,2,An event causing great and usually sudden damage or suffering; a disaster.,They were warned of the ecological catastrophe to come.,0,0
Havoc,calamity,5,2,Widespread destruction.,"The storm wreaked havoc in the garden, uprooting trees and blowing a fence down.",0,0
Mishap,calamity,5,2,An unlucky accident.,The parade was very well organized and passed without mishap.,0,0
Ordeal,calamity,5,2,A very unpleasant and prolonged experience.,The hostages  ordeal came to an end when soldiers stormed the building.,0,0
Upheaval,calamity,5,2,A violent or sudden change or disruption to something.,Yesterday's coup brought further upheaval to a country already struggling with famine.,0,0
Avalanche,deluge,5,2,"A mass of snow, ice, and rocks falling rapidly down a mountainside.",We were swamped by an avalanche of letters / phone calls complaints.,0,0
Inundate,deluge,5,2,Overwhelm (someone) with things or people to be dealt with.,We have been inundated with requests for help.,0,0
Overproduction,deluge,5,2,"Production of more of a product, commodity, or substance than is wanted or needed.","Farmers are being encouraged to diversify into other crops, rather than continue to overproduce wine.",0,0
Submerge,deluge,5,2,Cause (something) to be under water.,The submarine submerged when enemy planes were sighted.,0,0
Submergence,deluge,5,2,The process or state of being submerged in or covered with water.,An ample water supply is probably the greatest advantage of soil submergence for irrigated rice.,0,0
Submersion,deluge,5,2,The action or state of submerging or being submerged.,The fruit was preserved by submersion in alcohol.,0,0
Abominable,bad,5,2,Causing moral revulsion.,The prisoners are forced to live in abominable conditions.,0,0
Contemptible,bad,5,2,Deserving contempt; despicable.,Her behaviour was contemptible.,0,0
Despicable,bad,5,2,Deserving hatred and contempt.,despicable behaviour,0,0
Disreputable,bad,5,2,Not considered to be respectable in character or appearance.,Some of the more disreputable newspapers made FALSE claims about her private life.,0,0
Lewd,bad,5,2,Crude and offensive in a sexual way.,Ignore him - he's being lewd.,0,0
Odious,bad,5,2,Extremely unpleasant; repulsive.,an odious crime,0,0
Repugnant,bad,5,2,Extremely distasteful; unacceptable.,a repugnant smell,0,0
Repulsive,bad,5,2,Arousing intense distaste or disgust.,What a repulsive old man!,0,0
Sordid,bad,5,2,Involving immoral or dishonourable actions and motives; arousing moral distaste and contempt.,There are lots of really sordid apartments in the city's poorer areas.,0,0
Contaminate,bad,5,2,Make (something) impure by exposure to or addition of a poisonous or polluting substance.,Much of the coast has been contaminated by nuclear waste.,0,0
Dishonest,bad,5,2,"Behaving or prone to behave in an untrustworthy, deceitful, or insincere way.",a dishonest lawyer,0,0
Immoral,bad,5,2,Not conforming to accepted standards of morality.,an immoral act,0,0
Sophisticate,bad,5,2,Make (someone or something) more sophisticated.,They are cheating but are sophisticated enough to avoid detection.,0,0
Subvert,bad,5,2,Undermine the power and authority of (an established system or institution),subversive elements / groups in society,0,0
Lascivious,bad,5,2,Feeling or revealing an overt sexual interest or desire.,a lascivious smile,0,0
Sacrilegious,bad,5,2,Involving or committing sacrilege.,Muslims consider it sacrilege to wear shoes inside a mosque.,0,0
Salacious,bad,5,2,Having or conveying undue or inappropriate interest in sexual matters.,a salacious book / joke comment,0,0
Venal,bad,5,2,Showing or motivated by susceptibility to bribery; corrupt.,a venal ruler,0,0
Admonish,criticize,5,3,Reprimand firmly.,His mother admonished him for eat ing too quickly.,0,0
Castigate,criticize,5,3,Reprimand (someone) severely.,Health inspectors castigated the kitchen staff for poor standards of cleanliness.,0,0
Chastise,criticize,5,3,Rebuke or reprimand severely.,Charity organizations have chastised the government for not do ing enough to prevent the latest famine in Africa.,0,0
Denounce,criticize,5,3,Publicly declare to be wrong or evil.,The government's economic policy has been denounced on all sides.,0,0
Denunciation,criticize,5,3,Public condemnation of someone or something.,his denunciation as a traitor,0,0
Indict,criticize,5,3,Formally accuse of or charge with a crime.,He was indicted on drug charges at Snaresbrook Crown Court.,0,0
Chronology,criticize,5,3,The arrangement of events or dates in the order of their occurrence.,I'm not sure of the chronology of events.,0,0
Commentary,criticize,5,3,An expression of opinions or offering of explanations about an event or situation.,The commentary on the Olympic Games was much better on the other channel.,0,0
Discussion,criticize,5,3,The action or process of talking about something in order to reach a decision or to exchange ideas.,We will discussions with employee representatives about possible redundancies.,0,0
Editorial,criticize,5,3,Relating to the commissioning or preparing of material for publication.,All the papers deal with the same subject in their editorials.,0,0
Reconsider,criticize,5,3,"Consider (something) again, especially for a possible change of decision regarding it.",He begged her to reconsider but she would not.,0,0
