word,meaning
sanguine,cheerful; confident; optimistic
broach,bring up; announce; begin to talk about
irksome,tiresome
ostentation,display to obtain admiration or envy
requite,repay give in return
kibosh,"block, halt, stop"
imperious,commanding; haughty; arrogant
brash,hasty rush; cheeky; saucy
presage,warning sign
verdant,fresh and green
desiccant,substance used to absorb moisture
philistine,a smug ignorant person one who lacks knowledge
palatial,magnificent
epiphany,A Christian feast celebrating the manifestation of the divine nature of Jesus to the Gentiles as represented by the Magi.
trifling,unimportant
ensconce,To settle (oneself) securely or comfortably
heretic,"recreant, protestant,skeptic"
raconteur,person who tells anecdotes
ferment,substance become excited
perfidious,treacherous; faithless
agog,eager/excited
reactionary,opposing progress
hauteur,haughtiness
wile,a trick
qualm,feeling of doubt temporary feeling of sickness
rumple,make rough
curmudgeon,bad-tempered person
bequest,arrangement to give something at death
remonstrate,to protest object
propitious,auspicious; presenting favorable circumstances
drone,male bee person who isn't self-employed
stymie,to hinder obstruct or block
roll,call calling of names
inchoate,not yet fully formed; rudimentary; elementary
obtrusive,projecting; prominent; undesirably noticeable
rivet,fix take up secure metal pin
fatuous,without sense foolish; self-satisfaction
jibe,gibe; make fun of
baleful,harmful; ominous causing evil
rapacious,greedy (esp for money)
wan,"looking ill, not bright"
figurehead,carved image on the prow of a ship
fetid,stinking
overweening,presumptuously; arrogant; overbearing
preen,tidy/show self-satisfaction
vacillation,being uncertain hesitating
discountenance,refuse to approve of
provident,frugal; looking to the future
equanimity,calmness of temperament
extricable,that can be freed
barrage,artificial obstacle built across a river
impetuous,having sudden energy; impulsive
macerate,make or become soft by soaking in water
forswear,renounce; disallow; repudiate
mendicant,a beggar
hubris,arrogant; pride
atonement,repayment death of Jesus
saturnine,gloomy; dark; sullen; morose
supplicate,make a humble petition to
slur,join sounds/words (indistinct)
rueful,dejected
excoriation,severe criticism
skiff,small boat
profundity,depth
blandness,polite manner; comforting; uninteresting
ford,shallow place in a river (to cross)
cloture,closing device (in Parliament) to end a debate by voting
blithe,cheerful; casual; carefree
hallow,to make holy; consecrate
scabbard,sheath for the blade
egress,way out exit
boggle,To hesitate as if in fear or doubt
rant,use extravagant language
contemn,to scorn or despise
dereliction,deserting and leaving to fall into ruins
petrous,like a rock hard stony
benison,blessing
perspicacity,quick judging and understanding
seminal,like a seed constituting a source; originative
machination,plot; scheme (esp. evil)
entreat,ask earnestly
restive,refusing to move reluctant to be controlled
prudish,easily shocked; excessively modest
labyrinthine,to entangle the state of affairs
incumbents,official duties
prune,dried plum silly person
depredation,plundering
molt,lose hair/feathers before new growing
manacle,chains for the hands or feet
stigmatize,describe somebody scornfully
imbroglio,complicated and embarrassing situation
goad,something urging a person to action
forage,food for horses and cattle
indigence,poverty
fervid,showing earnest feeling
vacuity,idleness
overhaul,examine thoroughly to learn about the condition
cravat,piece of linen worn as a necktie
vestige,trace or sign
cordon,line (of police acting as a guard)
flax,pale yellow (hair) a plant
aleck,one who considers himself smarter than others
poignant,deeply moving keen
exploit,brilliant achievement develop use selfishly
subsume,include under a rule
petulant,unreasonably; impatient
eddy,circular or spiral movement (e.g.. of wind)
rubicund,red and healthy
interdict,prohibit forbid
parsimonious,too economical; miserly
severance,severing
ineluctable,certain; inevitable
insouciant,unconcerned; carefree
predilection,special liking mental preference
halcyon,calm and peaceful
flout,reject mock to go against (as in going against tradition)
gouge,tool for cutting grooves in wood
lugubrious,mournful; excessively sad
upbraid,scold reproach
chary,cautious; wary
officious,too eager or ready to help offer advice
demagogue,person appealing not to reasons
feint,pretend
cabal,a scheme or plot a group of plotters
belligerent,(person nation) waging war
impute,to attribute to a cause or source ascribe
retard,check hinder
deprecate,protest against; express disapproval of
mulct,"to deprive (someone) of something, as by fraud, extortion, etc."
aplomb,self-confidence
propitiatory,conciliatory; appeasing; mitigating
maudlin,sentimental in a silly or tearful way
tautology,a repetition a redundancy
dulcet,melodious; harmonious
shunt,send from one track to another lay aside evade discussion
inured,accustomed to adapted
denouement,an outcome or solution; the unraveling of a plot
forge,workshop for the shaping of metal to shape metal lead
sordid,wretched; comfortless; contemptible
cursory,quick; hurried
argot,jargon; slang
sinuous,winding; undulating serpentine
hone,stone used for sharpening tools
impecunious,having little or no money
augury,omenl sign
odium,intense hatred or dislike
vigilant,member of a vigilance committee
propinquity,nearness in time or place affinity of nature
salacious,obscene
homiletics,act of preaching
recalcitrant,disobedient
libertine,immoral person
turgid,excessively ornate swollen or bloated
epistle,letter
foible,defect of character (a person is wrongly proud)
harrow,to distress; create stress or torment
inculcate,fix firmly by repetition
eclat,"Great brilliance, as of performance or achievement"
deposition,dethronement; depositing
tangential,suddenly changeable
countervail,counterbalance
middling,fairly good but not very good
gossamer,soft light; delicate material
stentorian,extremely loud and powerful
resort,to frequently visit
divestiture,taking off getting rid of giving up
churl,bad-tempered person
repertoire,"A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform"
nary,not any; no;
pinchbeck,An alloy of zinc and copper used as imitation gold; A cheap imitation
finicky,finical
profane,worldly having contempt for God
truculence,aggressiveness ferocity
glean,gather facts in small quantities
inveigh,to attack verbally; denounce; deprecate
levee,formal reception/embankment
diaphanous,transparent; gauzy
diffidence,shyness
trepidation,alarm excited state of mind
rebuff,snub
nugatory,trifling/worthless
opprobrious,showing scorn or reproach
pucker,wrinkle
vitiate,lower the quality weaken the strength
disinter,dig up from the earth
foppish,like a man who pays too much attention to his clothes
astringent,substance that shrinks
detumescence,diminishing or lessening of swelling
panegyric,formal praise eulogy
flak,criticism; anti-aircraft guns
distrait,distracted
plod,continue doing something without resting
refractory,stubborn; unmanageable; intractable
ramify,to be divided or subdivided to branch out
expedient,likely to be useful for a purpose
fecund,fertile
encomium,warm or glowing praise eulogy panegyric
obloquy,abusively; detractive language; sharp criticism; vituperation
trenchant,forceful effective vigorous extremely perceptive incisive
disconcert,upset the self-possession of
pugnacious,fond of in the habit of fighting
quaff,drink deeply
vituperate,curse abuse in words
discomfit,confuse embarrass
quail,lose courage turn frightened
nemesis,deserved and unavoidable punishment for wrong doing
sublime,extreme; astounding
peremptory,urgent; imperative; unchallenged; ending debate
blandishment,flattery; coaxing
rabble,mob crowd the lower classes of populace
untoward,unfortunate inconvenient
strut,a supporting bar
voluble,fluent
sermon,reproving a person for his faults
prosaic,straightforward.; lacking in imagination and spirit
bereft,rob or dispossess of something (material)
fetter,to shackle put in chains
cant,insincere talk/jargon
turpitude,wickedness shamefulness
raffish,showing vulgar in nature or appearance; tawdry
implicate,to be involved
asperity,roughness; harshness; ill temper; irritability
ensign,flag/badge
contumacious,insubordinate rebellious
idyll,a carefree episode or experience
teetotal,oppose to alcohol
veritable,real rightly named
simper,(give a) silly/self-conscious smile
mien,demeanor
invective,abusive language; curses
hirsute,hairy; shaggy
impugned,challenged to be doubted
umbrage,offense resentment
meretricious,attractive on the surface but of little value
incense,make angry
surfeit,satiate feed to fulness or to excess
endemic,epidemic
sophistry,fallacious; reasoning faulty logic
unencumbered,easy-going trifle
felicitous,suitably expressed; well chosen; apropos
hack,cut roughly; hired horse
atavistic,something reverting to an earlier type
mettle,quality of endurance or courage
miseenscene,the stage setting or scenery of a play
toady,obsequious flatterer
peregrination,traveling about wandering
forbear,refrain from; be patient; ancestor
ecumenical,representing the whole Christian world
incipient,beginning
ineffable,to great to be described in words
plaintive,mournful; melancholy; sorrowful
pine,waste away through sorrow or illness
ostensible,seeming appearing as such professed
piquant,agreeably pungent; stimulating
tout,"To solicit customers, votes, or patronage"
tamp,tap or drive down by repeated light blows
canvass,discuss thoroughly sort of touting
minatory,menacing; threatening
slate,king of blue-grey stone propose criticize
stipple,paint with dots
plumb,get to the root of
stanch,to stop the flow of a fluid
fledged,able to fly trained experienced
aspersion,slander
deferential,showing respect
sundry,various miscellaneous; separate
blatant,noisy and rough
consternation,surprise and fear; dismay
cadge,to beg; to get by begging
brummagem,Cheap and showy
spurn,have nothing to do reject or refuse
purvey,provide supply
bedizen,to adorn especially in a cheap showy manner
desuetude,cessation of use disuse
obstreperous,noisy; loud
suppliant,asking humbly beseeching
countenance,to favor or approve of
presumption,arrogance
belabor,beat hard
redoubtable,formidable causing fear
balk,obstacle purposely to get on the way of
supercilious,disdainful characterized by haughty scorn
stygian,hence; dark; gloomy
virago,a loud domineering woman a scold or nag
orison,prayer
trite,not new
preponderance,greatness in number strength weight
reprobate,person hardened in sin; one devoid of decency
hermetic,sealed by fusion
expiation,ending; expiring
rebus,puzzle in which pictures stand for words
vagary,strange act or idea
imperviousness,not permitting penetration or passage; impenetrable
trencherman,person who eats a lot
hew,make by hard work cut (by striking)
proscribe,denounce as dangerous
sententious,short and pithy full of maxims/proverbs
portent,omen marvelous threatening
doggerel,trivial poorly constructed verse
venal,ready to do something dishonest
picaresque,involving clever rogues or adventurers
splenetic,bad-tempered;irritable
ferret,discover by searching search
petrified,taken away power (to think feel act)
duress,threats to compel somebody
peripatetic,wandering
profligacy,shameless immorality
imprecation,an invocation of evil a curse
succor,assistance relief in time of distress
lithe,bending; twisting
mettlesome,courageous; high-spirited
froward,intractable not willing to yield or comply stubborn
travesty,parody/imitation
fulsome,disgusting offensive due to excessiveness
puissance,strength
acarpous,effete no longer fertile; worn out
pied,of mixed colors
pileous,Covered with hair
effete,infertile; worn out; weak
sobriquet,nickname
wend,to go proceed
edacious,voracious; devouring
constrain,compel
fulmination,bitter protest
slake,to assuage to satisfy allay
nibble,show some inclination to accept (an offer)
pique,hurt the pride or self-respect stir (curiosity)
ponderous,heavy; bulky; dull
brook,to tolerate; endure
detraction,slandering verbal attack aspersion
salutary,remedial wholesome causing improvement
welter,turmoil a bewildering jumble
repast,meal
cavalcade,a procession
nostrum,a quack remedy; an untested cure
nonplused,greatly surprised
refulgent,shining; brilliant
stint,to be thrifty to set limits
suborn,induce by bribery or something to commit perjury
garble,make unfair selection from facts
palaver,To flatter; to cajole
fustian,bombastic
mince,pronounce or speak affectedly euphemize
scurvy,mean; contemptible
epithet,adjective
prolix,tiring because too long
importune,beg urgently solicit (of a prostitute)
bilge,bulge; the protuberance of a cask
involute,complex
abraid,to awaken or rouse
sere,make hard and without feeling
droll,jesting
descry,catch sight of see something in the distance
repine,at be discontented with
limn,paint portray
wag,merry person
coruscate,sparkle
lucubrate,write in scholarly fashion
crass,without refinement or sensitivity; gross.
recreancy,cowardice a cowardly giving up
testiness,witness/evidence
arrant,in the highest degree
quibble,try to avoid by sophistication
lam,a hasty escape; flight.
imbibe,to consume (liquids) by drinking; drink
repose,rest;sleep
perfunctorily,performed merely as a routine duty; hasty and superficial
impasse,a position or situation from which there is no escape; deadlock
pulchritudinous,physically beautiful; comely.
eupeptic,good digestion
Chicane,deception
brobdingnagian,gigantic
Exodus,a going out; a departure
Rejoinder,response
Furtive,"taken,done"
Abhor,hate
Bigot,"narrow-minded, prejudiced person"
Counterfeit,fake; false
Enfranchise,give voting rights
Hamper,hinder; obstruct
Kindle,to start a fire
Noxious,harmful; poisonous; lethal
Placid,calm; peaceful
Remuneration,payment for work done
Talisman,lucky charm
Abrasive,rough; coarse; harsh
Bilk,cheat; defraud
Covert,hidden; undercover
Hangar,storage area (like garage) for a plane
Knotty,complex; difficult to solve
Nuance,something subtle; a fine shade of meaning
Plagiarism,taking credit for someone else's writing or ideas
Renown,fame
Tangent,going off the main subject
Abasement,humiliation; degradation
Billowing,swelling; fluttering; waving
Cower,recoil in fear or servility; shrink away from
Enhance,improve; make better or clearer
Harangue,"noisy, attacking speech"
Labyrinth,a maze
Nullify,to counter; make unimportant
Plaintiff,petitioner (in court of law)
Replete,full
Tangible,can be touched
Abrogate,cancel; deny; repeal
Blasphemy,speech which offends religious sentiments
Credible,believable
Harbingers,indicators; bringers of warnings
Labyrinthine,complicated; highly convoluted
Nuzzle,cuddle; snuggle
Plaudit,statement giving strong praise
Reprehensible,shameful; very bad
Tardy,slow; late; overdue; delayed
Absolution,forgiveness; pardon; release
Blatant,obvious
Creditable,praiseworthy
Ensconce,establish firmly in a position
Hasten,hurry; accelerate; rush
Laceration,a cut
Plausible,can be believed; reasonable
Reprieve,a respite; postponement of a sentence
Tawdry,of little value; gaudy
Blighted,damaged; destroyed; ruined
Enshroud,cover
Haughtiness,arrogance; pride
Lachrymose,tearful; sad
Obfuscate,deliberately make something difficult to understand
Tedium,boredom
Abstemious,self denying; refraining from indulging
Blithe,free-spirited; carefree
Crepuscular,active at dawn and dusk
Enunciation,clear pronunciation; accent; articulation
Headstrong,stubborn; willful
Lackluster,dull; monotonous; bland
Objective,unbiased; not subjective
Pliable,flexible; not stubborn
Rescind,retract; repeal
Temper,to moderate; soften
Abstruse,difficult to understand; obscure
Blunderbuss,1. ancient weapon (type of gun); 2. a clumsy person
Cringe,recoil; flinch; shy away
Envenom,to cause bitterness and bad feeling
Hedonism,self indulgence; pleasure-seeking
Oblique,indirect; slanting
Plumage,feathers of a bird
Resignation,acceptance of fate
Tenacious,stubborn; resolute; holding firm to a purpose
Accolade,tribute; honor; praise
Cryptic,puzzling; enigmatic
Hedonist,a pleasure seeker
Lamentation,expression of regret or sorrow
Obliterate,destroy; demolish; eradicate
Plummet,fall suddenly and steeply
Resolution,determination
Tentative,not certain
Acquiesce,to agree to; give in to
Bombast,"arrogant, pompous language"
Curtail,cut short
Epicure,someone who appreciates good food and drink
Heed,listen to
Lampoon,ridicule; spoof
Oblivious,totally unaware
Podium,raised platform
Resonant,echoing
Tenuous,flimsy; not solid
Acrid,sharp; pungent (used of smells and tastes)
Boorish,ill-mannered
Cynical,believing that people act only out of selfish motives
Epistle,a letter (form of communication)
Heresy,against orthodox opinion
Lance,spear; spike; javelin
Obscure,difficult to understand; partially hidden
Poignant,deeply moving; strongly affecting the emotions
Respite,a break; intermission
Terse,concise; to the point
Acrophobia,fear of heights
Bourgeois,middle class
Debility,weakness; incapacity
Epistolary,concerned with letters; through correspondence
Hiatus,interruption; pause
Languid,tired; slow
Obscured,hidden; covered; buried
Poised,calm; collected; self-possessed
Resplendent,shining; glowing
Therapeutic,medicinal; curative
Acuity,sharpness (mental or visual)
Braggart,someone who boasts
Debunking,exposing false claims or myths
Epitomized,typified; characterized; personified
Hidebound,rigid in opinions
Languish,decay; fade away; get weaker
Polemical,causing debate or argument
Restorative,a tonic
Thwart,prevent; frustrate
Adamant,forceful; inflexible
Brawny,muscular
Decathlon,an athletic competition with ten events
Hieroglyphics,1. picture writing; 2. writing which is difficult to read or enigmatic
Larceny,theft; robbery; stealing
Obsession,a dominating concern
Ponderous,weighty; slow and heavy
Retention,preservation; withholding
Timorous,cowardly; fearful
Adroit,skilful / skillful
Brevity,being brief
Err,make a mistake
Hinder,obstruct
Largess,generosity
Obsolete,no longer valid
Pontificate,speak pompously or dogmatically
Adulation,strong admiration; worship
Bristle,to show irritation
Decoy,lure; trap; trick
Histrionic,theatrical; exaggerated
Obstreperous,noisy and boisterous
Portend,foretell
Retraction,withdrawal; cancellation of a statement
Titter,giggle quietly
Adversity,hardship
Broach,start to discuss; approach
Hoary,old
Obtuse,mentally dull
Portent,a warning sign; omen
Revere,worship
Tome,large book
Brusque,blunt; abrupt
Defoliate,cause leaves to fall off
Espouse,promote; take up; support
Hone,sharpen; increase; whet
Lax,careless; not strict
Poseur,someone who puts on an act
Riddled,full of (usually full of holes)
Torpid,inactive; lazy; stagnant
Bulwark,fortification; barricade; wall
Defunct,no longer in existence
Etymology,the study of word origins
Hyperbole,grossly exaggerated speech
Legend,1. key to map; 2. myth or story
Odious,hateful
Posterity,future generations
Rife,common
Affable,friendly; social; easygoing
Bureaucracy,officialdom
Degradation,deprivation; poverty; debasement
Hypochondriac,a person obsessed with health; having imaginary illnesses
Legion,in large numbers
Officious,domineering; intrusive; meddlesome
Posthumous,after death
Rigor,thoroughness
Totter,walk unsteadily
Alacrity,eagerness; enthusiasm; quickness
Burgeon,grow; flourish; put forth new shoots
Deleterious,harmful
Hypocritical,insincere
Ogle,stare at; observe in an obvious manner
Postulate,hypothesize; propose
Robust,strong; healthy; tough
Tractable,obedient; dutiful; polite
Alchemy,medieval chemistry; attempt to change base metal into gold
Burnish,polish
Deliberate,to think over deeply
Euphony,pleasant sounds
Levity,flippancy; joking about serious matters
Olfactory,concerned with the sense of smell
Potable,suitable for drinking
Rotund,round
Tranquil,peaceful
Alibi,an excuse that shows someone was not at a crime scene
Buttress,strengthen; support
Delineation,demarcation; explanation; definition; outlining
Evacuate,vacate; empty; abandon
Idiosyncrasy,a personal peculiarity; something unique to an individual
Libertarian,someone who opposes tyranny
Ominous,threatening
Potent,powerful; compelling; strong
Ruminate,think over something; ponder
Transcribe,copy
Allay,to lessen
Byline,the line that tells you who wrote an article
Demur,hesitate; refuse
Ignominious,shameful
Liniment,soothing lotion
Omnipotent,all-powerful
Ruse,trick; stratagem
Transgress,go astray; disobey; commit a sin
Denounce,condemn; speak out against
Exasperated,frustrated; annoyed
Ignominy,shame [ignominious (a) = shameful]
Lithe,flexible; supple
Omniscient,all-knowing
Pragmatist,practical person; one who is concerned with usefulness
Saccharin,falsely sweet
Transient,short-lived; ephemeral
Aloof,distant; detached; cold
Cajole,coax
Deplete,use up; lessen
Exceptionable,very bad (something which we should object to)
Illuminate,to light up or make clear
Livid,very angry
Preamble,introductory material
Sacrosanct,very holy; inviolable
Traverse,to move across
Altruism,putting others first; being self-sacrificing
Caldron,huge cooking pot
Deplore,regret
Illusory,deceptive; false; misleading
Lobbyist,person who tries to persuade someone to support a particular cause
Onus,burden
Precarious,unstable; risky
Sagacious,wise
Trepidation,fear
Amass,accumulate
Callow,immature
Depravity,moral corruption
Execrable,"very, very bad"
Immoderate,excessive; extreme
Lofty,snooty; arrogant; haughty
Precedent,a previous occurrence used as a guide
Sage,a wise person
Trinket,something of little value; knick-knack
Ambiguity,uncertainty; vagueness
Deprecate,criticize; denounce
Exegesis,scholarly explanation or interpretation
Immutable,unchanging; permanent
Longevity,long life
Opulent,wealthy; rich; magnificent
Precept,guiding principle
Salacious,lecherous; erotic
Trite,unoriginal; dull
Candor,frankness; openness
Exemplary,outstandingly good; setting a fine example
Impartial,unbiased; neutral
Ordain,1. destine; 2. confer holy orders on a priest
Precinct,district of a city
Sallow,yellowish
Trivial,unimportant
Ambivalence,lack of clarity; wavering; being undecided
Cantankerous,bad-tempered; quarrelsome
Derogatory,uncomplimentary
Exemplify,to serve as a good example
Impecunious,having no money
Ornate,highly decorated
Precipice,steep slope
Salubrious,health-giving
Truant,shirker; someone absent without permission
Ambulatory,able to walk around (used of hospital patients)
Capacious,spacious
Desecrate,to damage or pollute a holy place
Exhaustive,complete and thorough
Impious,wicked; profane
Ludicrous,ridiculous; silly
Orthodox,conventional
Precipitous,done in a hurry
Salutary,something which teaches you a lesson; beneficial
Truncate,cut short
Capitulate,surrender; give in to
Desecration,spoiling something holy
Exonerates,acquits; absolves; removes blame
Impoverished,destitute; poor
Lukewarm,1. unenthusiastic; 2. neither hot nor cold
Ossify,1. turn to bone; 2. become fixed and rigid
Preclude,prevent or make impossible
Sanctimonious,hypocritically holy
Tumult,uproar; noise
Amelioration,improvement
Carping,constant criticism
Desist,stop; discontinue; cease
Exorcism,getting free/rid of; eliminating (especially demons)
Impromptu,unrehearsed; spontaneous
Lummox,clumsy person
Ostentatious,showy
Precocious,developing early
Sanction,give approval to
Turpitude,depravity
Amiable,friendly
Cartographer,person who makes maps
Despondent,having no hope; miserable
Expatriate,refugee; emigrant; someone living away from his own country
Inadvertent,not intentional
Luscious,juicy; moist; succulent
Oust,push out of a position
Predecessor,one who came before
Sanguinary,bloodthirsty; bloody
Tyro,novice; beginner
Amity,friendship
Destitution,hardship; poverty; misery
Expedient,convenient; practical
Incantation,chant; invocation; prayer
Lynch,assassinate; kill; illegal hanging
Overt,obvious; not hidden
Predicament,dilemma; difficult situation
Sanguine,optimistic; cheerful
Ubiquitous,found everywhere; omnipresent
Amorphous,lacking in shape
Catharsis,purging of pent-up emotions
Deter,put off; prevent
Expedite,make faster
Incarceration,putting in prison
Machinations,plots and plans
Overwrought,worked up; in an emotional state
Preeminent,famous; outstanding
Sardonic,mocking
Unalloyed,undiluted; total
Analgesic,medicine to combat pain
Caucus,type of private political meeting
Deteriorate,worsen; decline
Exposition,clear explanation
Incessant,without stopping
Maelstrom,whirlpool; storm in the ocean
Palatable,good to eat; agreeable
Prerogative,right or privilege
Savant,person with knowledge
Unctuous,oily; using excessive flattery
Detrimental,harmful
Extol,praise
Incipient,just beginning
Magnanimous,generous; big-hearted
Palisade,fence made of posts
Prescient,having fore-knowledge
Scale,to climb
Undermined,damaged; attacked
Anarchy,chaos; lack of government
Cavalcade,procession of vehicles
Devoured,greedily eaten/consumed
Extradite,deport from one country back to the home country
Inclination,tendency; a leaning toward
Magnate,powerful businessman
Palliative,a remedy that improves but doesn't cure
Presentiment,a feeling that something might happen
Scapegoat,person on whom blame is placed for faults of others
Underscore,emphasize
Anecdote,a brief amusing story
Celerity,speed
Dexterous,skilful with hands
Extraneous,irrelevant
Incoherent,not clear
Maladroit,clumsy; unskillful
Pallid,pale
Presumptuous,assuming too much; arrogant
Scrupulous,careful; diligent; painstaking
Unequivocal,clear; obvious
Animosity,hatred; antagonism
Censorious,disapproving; critical
Dichotomy,a division into two parts
Extrapolate,extend; predict on the basis of known data
Incongruous,not fitting in; out of place
Malady,illness
Pretentious,pompous; self-important
Scrutinize,examine carefully
Unfetter,set free
Annex (n),a building which is an addition to an existing building
Censure,blame
Didactic,intended to teach; instructive
Extrinsic,irrelevant; on the outside
Inconsequential,unimportant; insignificant; negligible
Malediction,a curse
Panacea,remedy for all ills
Scuttle,sink
Unfrock,to remove a priest from his position
Annex (v),take possession of; seize; capture
Cerebral,intellectual
Fallacious,FALSE
Inconspicuous,not easily seen; subtle; not noticeable
Malefactor,a wrong-doer
Paradigm,1. example; 2. model; 3. way of looking at things
Seminary,an institution in which priests are trained
Unprecedented,never having happened before
Certitude,certainty
Digress,wander off the subject
Falter,hesitate; waver
Indelible,cannot be wiped out
Proclivity,tendency towards
Sensuous,appealing to the senses
Unscathed,unharmed; intact; without a scratch
Antagonism,hostility; strong opposition
Charlatan,trickster who claims knowledge he doesn't have
Dike,dam; embankment
Indifferent,1. neutral; 2. not outstanding
Malingerer,person who deliberately tries to avoid work
Procrastinate,delay; put off
Sentinel,guard; sentry
Unwitting,not deliberate; unconscious
Antagonistic,opposed; hostile; aggressive
Chary,wary of; cautious about; reluctant to give
Fanaticism,passion; excessive devotion
Indigenous,native to a particular area
Paramount,of supreme importance
Sequester,isolate
Upbraid,scold; tell off; reprimand
Antediluvian,outdated; prehistoric; very old-fashioned
Chastises,punishes
Dilemma,puzzling situation
Fastidious,overly particular; finicky
Indolence,laziness
Mallet,1. wooden hammer; 2. stick used for polo
Parasite,1. scrounger; 2. animal which takes digested food from another
Prodigious,very large
Serendipity,fortunate coincidence; unsought discovery
Uproarious,hilarious; hysterical; very funny
Anthology,a book which is a collection of poems or stories
Fatuous,silly; foolish
Inductee,novice; beginner
Manipulatable,influencable; controllable
Parched,dried up
Profane,unholy
Serene,calm; peaceful
Upshot,outcome
Anthropocentrism,putting man at the center of one's philosophy
Chimerical,changeable; unstable
Diligent,hard-working
Feasible,possible and practicable
Indulgent,pampering; satisfying desires
Marred,damaged; spoiled
Pariah,an outcast from society
Profanity,swearing; cursing
Serrated,jagged; saw-like
Urbane,sophisticated; suave
Antiquated,outdated; old fashioned
Choleric,easily angered
Diorama,model of a scene
Fecund,fertile
Inebriation,drunkenness; intoxication
Marshal,to gather together
Parity,equality
Profound,having deep meaning
Servile,overly submissive; groveling
Usurp,take someone's position (usually by force)
Apathetic,indifferent; uninterested; lethargic
Chronicler,person who records historical information
Felicitous,apt
Ineffable,cannot be expressed in words
Marsupial,pouched mammal (like a kangaroo)
Parochial,narrow-minded; concerned only with local matters
Profundity,depth
Skeptical,doubting; not gullible
Utilitarian,useful
Circuitous,indirect
Disapprobation,disapproval
Fervor,passion; enthusiasm
Inept,incompetent; unskilled; useless
Martinet,person who believes in strict discipline
Parody,a mockery; imitation for ridicule; spoof
Proletarian,member of the working class
Skirmish,minor battle
Utopian,a believer in an ideal world
Apocryphal,of doubtful origin
Circumlocution,using too many words; long-windedness
Fickle,unpredictable; whimsical; easily swayed
Inertia,inactivity; lethargy
Masochist,person who intentionally inflicts pain on himself
Parry,ward off; avoid
Prolific,producing a lot
Sluggard,slow-moving; lethargic person
Appease,pacify; soothe; calm down; make peace with
Circumscribe,limit
Discord,disagreement
Finesse,skill
Inevitable,cannot be avoided
Matriarchy,society governed by women
Parsimonious,economical; frugal; thrifty
Proponents,promoters; supporters
Smelt,refine an ore
Vacuous,empty; silly; meaningless
Apprehensive,worried; fearful
Circumspect,cautious; considering all sides
Discordancy,cacophony; harshness; jarring
Fitful,not continuous; stopping and starting
Inexorable,relentless
Maverick,a loner
Parsimony,stinginess; frugality; cost-cutting
Prosaic,dull; boring; ordinary
Smorgasbord,a Swedish buffet of cold dishes
Vagrant,person wandering without a home
Arable,can be cultivated
Circumvent,avoid
Discrepancy,something which does not match up; inconsistency
Flagrant,clearly wrong
Inexpedient,not advisable
Meager,in short supply
Partisan,biased; one-sided; committed to one group
Proscribe,forbid
Solace,comfort for grief
Vapid,dull; uninspiring
Arbitrary,random; for no definite reason
Clairvoyant,psychic; mystic
Discriminate,to make a clear distinction; see the difference
Flamboyant,showy; ornate
Infallible,perfect; flawless; cannot make mistakes
Meander,wander from side to side
Pathos,evoking sadness or pity
Prosody,study of versification
Solicit,to ask for; seek
Variegated,multicolored; speckled
Arcane,obscure; known only to a few people
Clamor,shout; scream
Discursiveness,long windedness; indirectness
Flaunt,show off; display in a showy manner
Infamous,famous for something bad
Mellow,soft; melodious; ripe
Patron,one who give support (usually financial)
Prostration,1. lying face down; 2. be overcome with extreme weakness
Somnambulist,sleepwalker
Vehemence,violence; fervor; forcefulness
Clandestine,secret; covert; stealthy
Disdain,contempt; strong dislike
Flippant,making jokes about serious matters
Infer,deduce; conclude
Menagerie,collection of animals
Patronize,condescend to; behave in an arrogant manner towards
Protagonist,"main character in film, book, play etc."
Soothsayer,fortuneteller
Vehement,forceful
Archetype,classic example of
Clemency,mercy
Disinterested,unbiased
Flout,defy; reject
Mendacious,given to lying
Paucity,shortage
Protean,changeable
Sophomoric,juvenile; immature
Venal,corrupt; can be bribed
Archives,collections of old records; place of storage of old documents
Disparage,criticize; belittle
Flustered,worked-up; not calm
Ingrate,ungrateful person
Mercenary,concerned only with money
Peccadillo,minor weakness; trivial offence
Veneer,surface coating
Clientele,customers
Disparity,an inequality
Fly-by-night,unreliable; disreputable
Mercurial,volatile; changeable
Protocol,procedure; code of behavior
Sparse,spare; bare; meager
Artifice,deception; trickery
Coalesce,come together; merge
Dispassionate,neutral; objective
Forensic,concerned with argument or debate (esp. for legal evidence)
Innate,inherited; inborn
Merge,come together
Pedestrian,common; mundane; banal
Provincial,unsophisticated; narrow-minded
Venial,minor; unimportant
Artisan,craftsman
Coddle,pamper; fuss over; indulge
Disseminating,circulating; broadcasting; spreading (information)
Fortitude,bravery
Metaphorically,symbolically; figuratively
Peerless,without equal
Prudent,cautious; wise
Speckled,spotted; freckled; dotted
Ascetic,without luxuries; severely simple
Coercion,force
Diurnal,active in daytime
Fortuitous,happening by chance
Innovate,create; introduce something new
Pejorative,derogatory
Puerile,childish
Sporadic,not continuous; intermittent
Assiduous,thorough; diligent
Divert,1. entertain; 2. distract; 3. cause a detour
Fractious,irritable; difficult to control
Inscrutable,mysterious; impenetrable
Mettle,courage; bravery; valor
Pellucid,transparently clear
Punctilious,paying attention to small details
Spurious,FALSE
Verbosity,using too many words
Cogitate,think over something; ponder
Docile,gentle and easily lead
Fraudulent,fake; false
Insentient,unfeeling
Milieu,environment
Pensive,in a thoughtful mood; thinking deeply
Purloin,steal
