word,meaning
transfiguration,A complete change of form or appearance into a more beautiful or spiritual state.
transformation,"A marked change in form, nature, or appearance."
translation,The process of translating words or text from one language into another.
transmogrify,Transform in a surprising or magical manner.
transmutation,The action of changing or the state of being changed into another form.
monotony,Lack of variety and interest; tedious repetition and routine.
tedium,The state or quality of being tedious.
banausic,Not operating on an elevated level; mundane.
monotonous,"Dull, tedious, and repetitious; lacking in variety and interest."
pabulum,"Bland or insipid intellectual matter, entertainment, etc."
pedestrian,A person walking rather than travelling in a vehicle.
prosaic,Having or using the style or diction of prose as opposed to poetry; lacking imaginativeness or originality.
routine,A sequence of actions regularly followed.
soporific,Tending to induce drowsiness or sleep.
tedious,"Too long, slow, or dull; tiresome or monotonous."
banal,So lacking in originality as to be obvious and boring.
bland,Lacking strong features or characteristics and therefore uninteresting.
bromidic,Attempting to soothe or placate in a trite or clichéd way.
commonplace,Not unusual; ordinary.
hackneyed,(of a phrase or idea) having been overused; unoriginal and trite.
insipid,Lacking flavour; weak or tasteless.
jejune,"Naive, simplistic, and superficial."
musty,"Having a stale, mouldy, or damp smell."
platitudinous,(of a remark or statement) used too often to be interesting or thoughtful; hackneyed.
quotidian,Of or occurring every day; daily.
shopworn,(of an article) made dirty or imperfect by being displayed or handled in a shop; shop-soiled.
stale,"(of food) no longer fresh and pleasant to eat; hard, musty, or dry."
threadbare,"(of cloth, clothing, or soft furnishings) becoming thin and tattered with age."
timeworn,Damaged or made less interesting or attractive as a result of age or much use.
trite,(of a remark or idea) lacking originality or freshness; dull on account of overuse.
adage,A proverb or short statement expressing a general truth.
banality,The fact or condition of being banal; unoriginality.
bromide,ABSENT
hokum,Nonsense.
inanity,A nonsensical remark or action.
insipidity,ABSENT
platitude,"A remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful."
shibboleth,"A custom, principle, or belief distinguishing a particular class or group of people, especially a long-standing one regarded as outmoded or no longer important."
truism,A statement that is obviously true and says nothing new or interesting.
vapidity                                        ,ABSENT
adventuresome,Given to adventures or to running risks; adventurous.
aggressive,Ready or likely to attack or confront; characterized by or resulting from aggression.
arrogant,Having or revealing an exaggerated sense of one's own importance or abilities.
audacious,Showing a willingness to take surprisingly bold risks.
assured,Confident.
conceited,Excessively proud of oneself; vain.
courageous,Not deterred by danger or pain; brave.
dauntless,Showing fearlessness and determination.
doughty,Brave and persistent.
egotistical,Excessively conceited or absorbed in oneself; self-centred.
intrepid,Fearless; adventurous (often used for rhetorical or humorous effect)
mettlesome,(of a person or animal) full of spirit and courage; lively.
plucky,Having or showing determined courage in the face of difficulties.
presumptuous,(of a person or their behaviour) failing to observe the limits of what is permitted or appropriate.
stouthearted,Courageous or determined.
stout,(of a person) rather fat or of heavy build.
temerity,Excessive confidence or boldness; audacity.
unabashed,"Not embarrassed, disconcerted, or ashamed."
undaunted,"Not intimidated or discouraged by difficulty, danger, or disappointment."
valiant,Possessing or showing courage or determination.
valorous,"Showing great courage in the face of danger, especially in battle."
venturesome,Willing to take risks or embark on difficult or unusual courses of action.
venturous,Willing to take risks or embark on difficult or unusual courses of action.
embellish,Make (something) more attractive by the addition of decorative details or features.
opulent,Ostentatiously costly and luxurious.
altruism,Disinterested and selfless concern for the well-being of others.
beatific,Feeling or expressing blissful happiness.
beneficent,(of a person) generous or doing good.
benign,Gentle and kind.
benison,A blessing.
clement,(of weather) mild.
continence,ABSENT
elevated,Situated or placed higher than the surrounding area.
ethical,Relating to moral principles or the branch of knowledge dealing with these.
exemplary,Serving as a desirable model; very good.
integrity,The quality of being honest and having strong moral principles.
probity,The quality of having strong moral principles; honesty and decency.
rectitude,Morally correct behaviour or thinking; righteousness.
temperance,Abstinence from alcoholic drink.
virtue,Behaviour showing high moral standards.
apotheosis,The highest point in the development of something; a culmination or climax.
paragon,A person or thing regarded as a perfect example of a particular quality.
quintessence,The most perfect or typical example of a quality or class.
standard,A level of quality or attainment.
bacchanalian,Characterized by or given to drunken revelry.
debauch,Destroy or debase the moral purity of; corrupt.
decadence,Moral or cultural decline as characterized by excessive indulgence in pleasure or luxury.
fiendish,Extremely cruel or unpleasant.
illicit,"Forbidden by law, rules, or custom."
infernal,Relating to or characteristic of hell or the underworld.
iniquitous,Grossly unfair and morally wrong.
invidious,(of an action or situation) likely to arouse or incur resentment or anger in others.
lascivious,Feeling or revealing an overt sexual interest or desire.
licentious,Promiscuous and unprincipled in sexual matters.
lurid,"Unpleasantly bright in colour, especially so as to create a harsh or unnatural effect."
miscreant,A person who has done something wrong or unlawful.
nefarious,(typically of an action or activity) wicked or criminal.
perfidious,Deceitful and untrustworthy.
rapacity,Aggressive greed.
reprobate,An unprincipled person.
turpitude,Depraved or wicked behaviour or character.
traitorous,Relating to or characteristic of a traitor; treacherous.
treacherous,Guilty of or involving betrayal or deception.
blemish,A small mark or flaw which spoils the appearance of something.
blot,"A dark mark or stain made by ink, paint, dirt, etc."
stain,Mark or discolour with something that is not easily removed.
stigma,"A mark of disgrace associated with a particular circumstance, quality, or person."
taint,A trace of a bad or undesirable substance or quality.
capacious,Having a lot of space inside; roomy.
cavalcade,"A formal procession of people walking, on horseback, or riding in vehicles."
cloying,"Disgust or sicken (someone) with an excess of sweetness, richness, or sentiment."
cornucopia,"A symbol of plenty consisting of a goat's horn overflowing with flowers, fruit, and corn."
dilate,"Make or become wider, larger, or more open."
distend,Swell or cause to swell by pressure from inside.
fraught,(of a situation or course of action) filled with or likely to result in (something undesirable)
glut,An excessively abundant supply of something.
manifold,Many and various.
multifarious,Many and of various types.
myriad,A countless or extremely great number of people or things.
opulence,Great wealth or luxuriousness.
overabundance,An excessive quantity.
plethora,A large or excessive amount of something.
preponderance,"The quality or fact of being greater in number, quantity, or importance."
prodigious,"Remarkably or impressively great in extent, size, or degree."
profusion,An abundance or large quantity of something.
replete,Filled or well-supplied with something.
superabundance,ABSENT
superfluity,An unnecessarily or excessively large amount or number of something.
surfeit,An excessive amount of something.
cloy,"Disgust or sicken (someone) with an excess of sweetness, richness, or sentiment."
gorge,"A narrow valley between hills or mountains, typically with steep rocky walls and a stream running through it."
sate,Satisfy (a desire or an appetite) to the full.
satiate,Satisfied to the full; sated.
accrete,Grow by accumulation or coalescence.
aggrandize,"Increase the power, status, or wealth of."
burgeon,Begin to grow or increase rapidly; flourish.
develop,"Grow or cause to grow and become more mature, advanced, or elaborate."
expatiate,Speak or write in detail about.
upsurge,An upward surge in the strength or quantity of something; an increase.
amplify,"Increase the volume of (sound), especially using an amplifier."
aggrandize,"Increase the power, status, or wealth of."
apotheosize,"Elevate to, or as if to, the rank of a god; idolize."
augment,Make (something) greater by adding to it; increase.
ennoble,Give (someone) a noble rank or title.
procreate,(of people or animals) produce young; reproduce.
proliferate,Increase rapidly in number; multiply.
propagate,Breed specimens of (a plant or animal) by natural processes from the parent stock.
reproduce,Produce a copy of.
spawn,"(of a fish, frog, mollusc, crustacean, etc.) release or deposit eggs."
bestow,"Confer or present (an honour, right, or gift)"
confer,"Grant (a title, degree, benefit, or right)"
extravagant,Lacking restraint in spending money or using resources.
exuberant,"Full of energy, excitement, and cheerfulness."
luxuriant,(of vegetation) rich and profuse in growth; lush.
profuse,(especially of something offered or discharged) very plentiful; abundant.
superabundant,ABSENT
exalted,(of a person or their rank or status) at a high or powerful level.
lofty,Of imposing height.
majestic,Having or showing impressive beauty or scale.
noble,"Belonging by rank, title, or birth to the aristocracy."
regal,"Of, resembling, or fit for a monarch, especially in being magnificent or dignified."
resplendent,Attractive and impressive through being richly colourful or sumptuous.
sublime,Of very great excellence or beauty.
inundate,Overwhelm (someone) with things or people to be dealt with.
deluge,A severe flood.
engulf,(of a natural force) sweep over (something) so as to surround or cover it completely.
dearth,A scarcity or lack of something.
defect,"A shortcoming, imperfection, or lack."
deficient,Not having enough of a specified quality or ingredient.
famine,Extreme scarcity of food.
insufficiency,The condition of being insufficient.
meager,(of something provided or available) lacking in quantity or quality.
paucity,The presence of something in only small or insufficient quantities or amounts.
poverty,The state of being extremely poor.
privation,A state in which food and other essentials for well-being are lacking.
scantiness,The quality of being small or insufficient in quantity or amount.
scarcity,The state of being scarce or in short supply; shortage.
stinting,Supply a very ungenerous or inadequate amount of (something)
abate,(of something unpleasant or severe) become less intense or widespread.
constrict,"Make narrower, especially by encircling pressure."
corrode,"Destroy or damage (metal, stone, or other materials) slowly by chemical action."
dwindle,"Diminish gradually in size, amount, or strength."
ebb,The movement of the tide out to sea.
wane,"(of the moon) have a progressively smaller part of its visible surface illuminated, so that it appears to decrease in size."
lapse,"A brief or temporary failure of concentration, memory, or judgement."
relent,"Abandon or mitigate a severe or harsh attitude, especially by finally yielding to a request."
slacken,Make or become slack.
equivocate,Use ambiguous language so as to conceal the truth or avoid committing oneself.
prevaricate,Speak or act in an evasive way.
abscond,"Leave hurriedly and secretly, typically to escape from custody or avoid arrest."
decamp,Leave a place suddenly or secretly.
escape,Break free from confinement or control.
flee,Run away from a place or situation of danger.
deceptive,Giving an appearance or impression different from the true one; misleading.
erroneous,Wrong; incorrect.
illusory,Based on illusion; not real.
ostensible,"Stated or appearing to be true, but not necessarily so."
plausible,(of an argument or statement) seeming reasonable or probable.
specious,"Superficially plausible, but actually wrong."
spurious,Not being what it purports to be; false or fake.
sophistical,ABSENT
camouflage,"The disguising of military personnel, equipment, and installations by painting or covering them to make them blend in with their surroundings."
cloak,A sleeveless outdoor overgarment that hangs loosely from the shoulders.
counterfeit,Made in exact imitation of something valuable with the intention to deceive or defraud.
disguise,Give (someone or oneself) a different appearance in order to conceal one's identity.
dissemble,Conceal or disguise one's true feelings or beliefs.
dissimulate,"Conceal or disguise (one's thoughts, feelings, or character)"
feign,"Pretend to be affected by (a feeling, state, or injury)"
masquerade,A false show or pretence.
pose,Present or constitute (a problem or danger)
pretend,Behave so as to make it appear that something is the case when in fact it is not.
sham,A thing that is not what it is purported to be.
simulate,Imitate the appearance or character of.
beguile,"Charm or enchant (someone), often in a deceptive way."
cozen,Trick or deceive.
deceive,"Deliberately cause (someone) to believe something that is not true, especially for personal gain."
delude,Make (someone) believe something that is not true.
dupe,Deceive; trick.
hoodwink,Deceive or trick.
humbug,Deceptive or false talk or behaviour.
artifice,"Clever or cunning devices or expedients, especially as used to trick or deceive others."
chicanery,The use of deception or subterfuge to achieve one's purpose.
connivery,ABSENT
deviousness,ABSENT
duplicity,Deceitfulness.
guile,Sly or cunning intelligence.
misrepresentation,The action or offence of giving a false or misleading account of the nature of something.
pettifoggery,ABSENT
sophistry,"The use of clever but false arguments, especially with the intention of deceiving."
subterfuge,Deceit used in order to achieve one's goal.
underhandedness,Secretive or dishonest behaviour.
exactitude,The quality of being precise or accurate.
fidelity,"Faithfulness to a person, cause, or belief, demonstrated by continuing loyalty and support."
veracity,Conformity to facts; accuracy.
candor,The quality of being open and honest; frankness.
fealty,A feudal tenant's or vassal's sworn loyalty to a lord.
indisputable,Unable to be challenged or denied.
indubitable,Impossible to doubt; unquestionable.
legitimate,Conforming to the law or to rules.
veracious,Speaking or representing the truth.
candid,Truthful and straightforward; frank.
forthright,(of a person or their manner or speech) direct and outspoken.
undisguised,(of a feeling) not disguised or concealed; open.
creed,A system of religious belief; a faith.
doctrine,"A belief or set of beliefs held and taught by a Church, political party, or other group."
dogma,A principle or set of principles laid down by an authority as incontrovertibly true.
tenet,"A principle or belief, especially one of the main principles of a religion or philosophy."
authoritarian,Favouring or enforcing strict obedience to authority at the expense of personal freedom.
bossy,Fond of giving people orders; domineering.
dictatorial,Of or typical of a ruler with total power.
doctrinaire,Seeking to impose a doctrine in all circumstances without regard to practical considerations.
domineering,Assert one's will over another in an arrogant way.
imperious,Arrogant and domineering.
magisterial,Having or showing great authority.
masterful,Powerful and able to control others.
overbearing,Unpleasantly overpowering.
peremptory,"Insisting on immediate attention or obedience, especially in a brusquely imperious way."
adulterate,Render (something) poorer in quality by adding another substance.
besmear,Smear or cover with a greasy or sticky substance.
bespatter,Splash drops of a liquid substance all over (an object)
defile,Damage the purity or appearance of; mar or spoil.
grimy,Covered with or characterized by grime.
grubby,Covered with dirt; grimy.
slovenly,(especially of a person or their appearance) untidy and dirty.
smutty,"(of talk, writing, or pictures) obscene or lascivious."
sully,Damage the purity or integrity of.
acrid,Unpleasantly bitter or pungent.
piquant,Having a pleasantly sharp taste or appetizing flavour.
poignant,Evoking a keen sense of sadness or regret.
pungent,Having a sharply strong taste or smell.
stinging,Having a sting; capable of wounding or piercing with a sting.
decorum,Behaviour in keeping with good taste and propriety.
etiquette,The customary code of polite behaviour in society or among members of a particular profession or group.
manners,A way in which a thing is done or happens.
modesty,The quality or state of being unassuming in the estimation of one's abilities.
mores,The essential or characteristic customs and conventions of a society or community.
propriety,Conformity to conventionally accepted standards of behaviour or morals.
seemliness,ABSENT
bashful,Reluctant to draw attention to oneself; shy.
self-effacing,Not claiming attention for oneself; retiring and modest.
timid,Showing a lack of courage or confidence; easily frightened.
dynamism,The quality of being characterized by vigorous activity and progress.
efficacy,The ability to produce a desired or intended result.
productive,"Producing or able to produce large amounts of goods, crops, or other commodities."
proficiency,A high degree of skill; expertise.
vigor,Physical strength and good health.
dormant,(of an animal) having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.
inactivity,The state of being inactive; idleness.
latent,(of a quality or state) existing but not yet developed or manifest; hidden or concealed.
motionless,Not moving; stationary.
quiescence,Inactivity or dormancy.
hypnotic,Relating to or producing hypnosis.
narcotic,"An addictive drug affecting mood or behaviour, especially an illegal one."
slumberous,ABSENT
somnolent,Sleepy; drowsy.
dilatory,Slow to act.
laggard,A person who makes slow progress and falls behind others.
perpetuity,The state or quality of lasting forever.
procrastination,The action of delaying or postponing something.
protracted,Lasting for a long time or longer than expected or usual.
retard,Delay or hold back in terms of progress or development.
sluggish,Slow-moving or inactive.
torpid,Mentally or physically inactive; lethargic.
analgesia,The inability to feel pain.
anesthesia,"Insensitivity to pain, especially as artificially induced by the administration of gases or the injection of drugs before surgical operations."
apathy,"Lack of interest, enthusiasm, or concern."
carus,ABSENT
narcosis,"A state of stupor, drowsiness, or unconsciousness produced by drugs."
narcoma,ABSENT
stupefaction,The state of being stupefied.
languid,"(of a person, manner, or gesture) having or showing a disinclination for physical exertion or effort."
lackadaisical,Lacking enthusiasm and determination; carelessly lazy.
languorous,"Characterized by tiredness or inactivity, especially of a pleasurable kind."
lethargic,Affected by lethargy; sluggish and apathetic.
listless,(of a person or their manner) lacking energy or enthusiasm.
impassivity,ABSENT
insensibility lassitude,ABSENT
listlessness,ABSENT
alacrity,Brisk and cheerful readiness.
celerity,Swiftness of movement.
cursory,Hasty and therefore not thorough or detailed.
elusive,"Difficult to find, catch, or achieve."
ephemeral,Lasting for a very short time.
evanescent,"Soon passing out of sight, memory, or existence; quickly fading or disappearing."
extemporaneous,Spoken or done without preparation.
fleeting,Lasting for a very short time.
fugitive,A person who has escaped from captivity or is in hiding.
impermanent,Not permanent.
momentary,Lasting for a very short time; brief.
perfunctory,"(of an action) carried out without real interest, feeling, or effort."
transitory,Not permanent.
transient,Lasting only for a short time; impermanent.
unenduring,ABSENT
dilatory,Slow to act.
flagging,Becoming tired or less dynamic; declining in strength.
lagging,"Material providing heat insulation for a water tank, pipes, etc."
tardy,Delaying or delayed beyond the right or expected time; late.
abiding,(of a feeling or memory) lasting a long time; enduring.
antediluvian,Of or belonging to the time before the biblical Flood.
dotage,The period of life in which a person is old and weak.
geriatric,"Relating to old people, especially with regard to their healthcare."
hoary,Greyish white.
inveterate,"Having a particular habit, activity, or interest that is long-established and unlikely to change."
senescent,ABSENT
superannuated,(of a post or employee) belonging to a superannuation scheme.
callow,(of a young person) inexperienced and immature.
green,Of the colour between blue and yellow in the spectrum; coloured like grass or emeralds.
juvenile,For or relating to young people.
neophyte,A person who is new to a subject or activity.
puerile,Childishly silly and immature.
sophomoric,Relating to or characteristic of a sophomore.
antediluvian,Of or belonging to the time before the biblical Flood.
antique,A collectable object such as a piece of furniture or work of art that has a high value because of its age and quality.
archaic,Very old or old-fashioned.
dowdy,(of a person or their clothes) unfashionable and unstylish in appearance (typically used of a woman)
fusty,"Smelling stale, damp, or stuffy."
obsolete,No longer produced or used; out of date.
outmoded,Old-fashioned.
superseded,Take the place of (a person or thing previously in authority or use); supplant.
amiable,Having or displaying a friendly and pleasant manner.
blithe,Showing a casual and cheerful indifference considered to be callous or improper.
ebullient,Cheerful and full of energy.
euphoric,Characterized by or feeling intense excitement and happiness.
felicity,Intense happiness.
provident,Making or indicative of timely preparation for the future.
disconsolate,Very unhappy and unable to be comforted.
dispirited,Having lost enthusiasm and hope; disheartened.
doldrums,A state or period of stagnation or depression.
dolorous,Feeling or expressing great sorrow or distress.
rue,Bitterly regret (something one has done or allowed to happen) and wish it undone.
woe,Great sorrow or distress (often used hyperbolically)
inexorable,Impossible to stop or prevent.
appease,Pacify or placate (someone) by acceding to their demands.
assuage,Make (an unpleasant feeling) less intense.
becalm,Leave (a sailing ship) unable to move through lack of wind.
lull,"Calm or send to sleep, typically with soothing sounds or movements."
propitiate,"Win or regain the favour of (a god, spirit, or person) by doing something that pleases them."
indolent,Wanting to avoid activity or exertion; lazy.
nonchalant,"(of a person or manner) feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm."
placid,Not easily upset or excited.
quiescent,In a state or period of inactivity or dormancy.
repose,"A state of rest, sleep, or tranquillity."
sedentary,(of a person) tending to spend much time seated; somewhat inactive.
staid,"Sedate, respectable, and unadventurous."
tranquil,Free from disturbance; calm.
""" unruffled",ABSENT
"""",ABSENT
animosity,Strong hostility.
aversion,A strong dislike or disinclination.
antipathy,A deep-seated feeling of aversion.
repellence,ABSENT
animus,Hostility or ill feeling.
antagonism,Active hostility or opposition.
apprehension,Anxiety or fear that something bad or unpleasant will happen.
chary,Cautiously or suspiciously reluctant to do something.
craven,Contemptibly lacking in courage; cowardly.
pusillanimous,Showing a lack of courage or determination; timid.
trepidation,A feeling of fear or anxiety about something that may happen.
abut,(of a building or an area of land) be next to or have a common boundary with.
aggregation,The formation of a number of things into a cluster.
cabal,A secret political clique or faction.
collate,"Collect and combine (texts, information, or data)"
colloquy,A conversation.
collusion,Secret or illegal cooperation or conspiracy in order to deceive others.
concatenate,Link (things) together in a chain or series.
concomitant,Naturally accompanying or associated.
confluence,"The junction of two rivers, especially rivers of approximately equal width."
conjoin,Join; combine.
consensus,A general agreement.
coterie,"A small group of people with shared interests or tastes, especially one that is exclusive of other people."
synchronous,Existing or occurring at the same time.
synthesis,The combination of components or elements to form a connected whole.
tandem,"A bicycle with seats and pedals for two riders, one behind the other."
analogous,"Comparable in certain respects, typically in a way which makes clearer the nature of the things compared."
consistent,"Acting or done in the same way over time, especially so as to be fair or accurate."
corresponding,"Analogous or equivalent in character, form, or function; comparable."
homogeneous,Of the same kind; alike.
asunder,Apart.
bifurcate,Divide into two branches or forks.
descry,Catch sight of.
detect,Discover or identify the presence or existence of.
diffuse,Spread over a wide area or between a large number of people.
discern,Recognize or find out.
discrete,Individually separate and distinct.
espy,Catch sight of.
hiatus,A pause or break in continuity in a sequence or activity.
incongruous,Not in harmony or keeping with the surroundings or other aspects of something.
interregnum,"A period when normal government is suspended, especially between successive reigns or regimes."
schism,"A split or division between strongly opposed sections or parties, caused by differences in opinion or belief."
sequestered,(of a place) isolated and hidden away.
discern,Recognize or find out.
perceive,Become aware or conscious of (something); come to realize or understand.
recognize,Identify (someone or something) from having encountered them before; know again.
rift,"A crack, split, or break in something."
amalgamate,Combine or unite to form one organization or structure.
admix,Mix (something) with something else.
blend,Mix (a substance) with another substance so that they combine together.
combine,Join or merge to form a single unit or substance.
commingle,Mix; blend.
commix,Mix; mingle.
compound,A thing that is composed of two or more separate elements; a mixture.
fuse,Join or blend to form a single entity.
intermingle,Mix or mingle together.
intermix,Mix together.
mingle,Mix or cause to mix together.
aberrance,ABSENT
anomaly deviance,ABSENT
preternaturalness,Preternatural quality or nature.
ambiguous,Open to more than one interpretation; not having one obvious meaning.
cloudy,(of the sky or weather) covered with or characterized by clouds.
doubtful,Feeling uncertain about something.
dubious,Hesitating or doubting.
equivocal,Open to more than one interpretation; ambiguous.
indeterminate,"Not exactly known, established, or defined."
nebulous,In the form of a cloud or haze; hazy.
unclear,"Not easy to see, hear, or understand."
vague,"Of uncertain, indefinite, or unclear character or meaning."
arcane,Understood by few; mysterious or secret.
cryptic,Having a meaning that is mysterious or obscure.
deep,Extending far down from the top or surface.
Delphic,Relating to the ancient Greek oracle at Delphi.
double-edged,(of a knife or sword) having two cutting edges.
elliptical,"(of speech or writing) using or involving ellipsis, especially so as to be difficult to understand."
enigmatic,Difficult to interpret or understand; mysterious.
fuliginous,Sooty; dusky.
inscrutable,Impossible to understand or interpret.
murky,"Dark and gloomy, especially due to thick mist."
mysterious,"Difficult or impossible to understand, explain, or identify."
mystic,"A person who seeks by contemplation and self-surrender to obtain unity with or absorption into the Deity or the absolute, or who believes in the spiritual apprehension of truths that are beyond the intellect."
occult,"Mystical, supernatural, or magical powers, practices, or phenomena."
opaque,Not able to be seen through; not transparent.
ambiguity,The quality of being open to more than one interpretation; inexactness.
incongruity,The state of being incongruous; incompatibility.
paradox,A seemingly absurd or contradictory statement or proposition which when investigated may prove to be well founded or true.
conundrum,A confusing and difficult problem or question.
enigma,A person or thing that is mysterious or difficult to understand.
perplexity,Inability to deal with or understand something.
coherent,"(of an argument, theory, or policy) logical and consistent."
explicit,"Stated clearly and in detail, leaving no room for confusion or doubt."
intelligible,Able to be understood; comprehensible.
limpid,(of a liquid) completely clear and transparent.
arrant,"Complete, utter."
blatant,(of bad behaviour) done openly and unashamedly.
egregious,Outstandingly bad; shocking.
flagrant,(of an action considered wrong or immoral) conspicuously or obviously offensive.
manifest,Clear or obvious to the eye or mind.
overt,Done or shown openly; plainly apparent.
patent,"A government authority or licence conferring a right or title for a set period, especially the sole right to exclude others from making, using, or selling an invention."
adjudge,Consider or declare to be true or the case.
adjudicate,Make a formal judgement on a disputed matter.
arbitrate,(of an independent person or body) reach an authoritative judgement or settlement.
referee,An official who watches a game or match closely to ensure that the rules are adhered to and (in some sports) to arbitrate on matters arising from the play.
accord,"Give or grant someone (power, status, or recognition)"
assent,The expression of approval or agreement.
concord,Agreement or harmony between people or groups.
concur,Be of the same opinion; agree.
harmony,The combination of simultaneously sounded musical notes to produce a pleasing effect.
rapport,A close and harmonious relationship in which the people or groups concerned understand each other's feelings or ideas and communicate well.
unanimity,Agreement by all people involved; consensus.
accede,"Agree to a demand, request, or treaty."
accommodating,Fitting in with someone's wishes or demands in a helpful way.
acquiesce,Accept something reluctantly but without protest.
capitulate,Cease to resist an opponent or an unwelcome demand; yield.
comply,Act in accordance with a wish or command.
concede,Admit or agree that something is true after first denying or resisting it.
altercate,Dispute or argue noisily and publicly.
altercation,"A noisy argument or disagreement, especially in public."
antithetic,ABSENT
averse,Having a strong dislike of or opposition to something.
bicker,Argue about petty and trivial matters.
cavil,Make petty or unnecessary objections.
detractor,A person who disparages someone or something.
disparage,Regard or represent as being of little worth.
dispute,A disagreement or argument.
excoriate,Damage or remove part of the surface of (the skin)
feud,A prolonged and bitter quarrel or dispute.
squabble,A noisy quarrel about something trivial.
wrangle,"A dispute or argument, typically one that is long and complicated."
disavow,Deny any responsibility or support for.
disclaim,Refuse to acknowledge; deny.
disown,Refuse to acknowledge or maintain any connection with.
renounce,"Formally declare one's abandonment of (a claim, right, or possession)"
repudiate,Refuse to accept; reject.
condone,Accept (behaviour that is considered morally wrong or offensive)
remit,Cancel or refrain from exacting or inflicting (a debt or punishment)
affinity,A natural liking for and understanding of someone or something.
allure,The quality of being powerfully and mysteriously attractive or fascinating.
beguile,"Charm or enchant (someone), often in a deceptive way."
bent,Sharply curved or having an angle.
charm,"The power or quality of delighting, attracting, or fascinating others."
draw,"Produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc."
enchant,Fill (someone) with great delight; charm.
entice,Attract or tempt by offering pleasure or advantage.
inveigle,Persuade (someone) to do something by means of deception or flattery.
penchant,A strong or habitual liking for something or tendency to do something.
predilection,A preference or special liking for something; a bias in favour of something.
proclivity,A tendency to choose or do something regularly; an inclination or predisposition towards a particular thing.
propensity,An inclination or natural tendency to behave in a particular way.
abhor,Regard with disgust and hatred.
abominate,Detest; loathe.
anathema,Something or someone that one vehemently dislikes.
bane,A cause of great distress or annoyance.
dissuade,Persuade (someone) not to take a particular course of action.
eschew,Deliberately avoid using; abstain from.
loathe,Feel intense dislike or disgust for.
parry,Ward off (a weapon or attack) with a countermove.
rancor,"Bitterness or resentfulness, especially when long standing."
revile,Criticize in an abusive or angrily insulting manner.
spurn,Reject with disdain or contempt.
enmity,A state or feeling of active opposition or hostility.
hostility,Hostile behaviour; unfriendliness or opposition.
