word,similarword,meaning
Redundant,superfluous,Not or no longer needed or useful; superfluous.
Corpulent,burly,(of a person) fat.
Tendentious,prejudicial,"Expressing or intending to promote a particular cause or point of view, especially a controversial one."
Torrid,blazing,Very hot and dry.
Pedantic,abstruse,Excessively concerned with minor details or rules; overscrupulous.
Rekindle,renew,Relight (a fire)
Ingenuous,artless,(of a person or action) innocent and unsuspecting.
somersault,gymnastics,An acrobatic movement in which a person turns head over heels in the air or on the ground and lands or finishes on their feet.
acclaimed,cheered,Publicly praised; celebrated.
rejuvenation,stimulation,"The action or process of making someone or something look or feel better, younger, or more vital."
scribble,doodle,Write or draw (something) carelessly or hurriedly.
commuter,straphanger,A person who travels some distance to work on a regular basis.
inclined,disposed,Leaning or turning away from the vertical or horizontal; sloping.
retrograde,declining,Directed or moving backwards.
earthenware,pottery,Pottery made of clay fired to a porous state which can be made impervious to liquids by the use of a glaze.
punitive,punitory,Inflicting or intended as punishment.
propagation,generation,The breeding of specimens of a plant or animal by natural processes from the parent stock.
ineptitude,clumsiness,Lack of skill or ability.
soot,ashes,"A deep black powdery or flaky substance consisting largely of amorphous carbon, produced by the incomplete burning of organic matter."
floe,berg,A sheet of floating ice.
bask,sun,"Lie exposed to warmth and light, typically from the sun, for relaxation and pleasure."
matriculation,acceptance,The action of matriculating at a college or university.
susceptibility,awareness,The state or fact of being likely or liable to be influenced or harmed by a particular thing.
ale,beer,"Any beer other than lager, stout, or porter."
commodious,convenient,Roomy and comfortable.
recast,copied,Give (a metal object) a different form by melting it down and reshaping it.
engrossing,consuming,Absorbing all one's attention or interest.
stingy,ungenerous,Mean; ungenerous.
dynamo,achiever,"A machine for converting mechanical energy into electrical energy, typically by means of rotating coils of copper wire in a magnetic field."
corporeal,material,"Relating to a person's body, especially as opposed to their spirit."
interim,acting,The intervening time.
Palpable,tangible,(of a feeling or atmosphere) so intense as to seem almost tangible.
endemic,local,(of a disease or condition) regularly found among particular people or in a certain area.
Hamper,bassinet,"A basket with a carrying handle and a hinged lid, used for food, cutlery, and plates on a picnic."
Hangar,barracks,"A large building with an extensive floor area, typically for housing aircraft."
Plaintiff,suer,A person who brings a case against another in a court of law.
Tangible,palpable,Perceptible by touch.
Tenacious,retentive,Tending to keep a firm hold of something; clinging or adhering closely.
Legend,narrative,A traditional story sometimes popularly regarded as historical but not authenticated.
Bureaucracy,directorate,A system of government in which most of the important decisions are taken by state officials rather than by elected representatives.
Hypochondriac,valetudinarian,A person who is abnormally anxious about their health.
Legion,myriad,"A division of 3,000–6,000 men, including a complement of cavalry, in the ancient Roman army."
Potable,edible,Safe to drink; drinkable.
Preamble,prelude,A preliminary or preparatory statement; an introduction.
Lobbyist,powerbroker,A person who takes part in an organized attempt to influence legislators.
Immutable,changeless,Unchanging over time or unable to be changed.
Longevity,lastingness,Long life.
Truant,AWOL,A pupil who stays away from school without leave or explanation.
Cartographer,measurer,A person who draws or produces maps.
Palatable,toothsome,(of food or drink) pleasant to taste.
Unequivocal,univocal,Leaving no doubt; unambiguous.
Parched,burned,Dried out with heat.
Chronicler,annalist,A person who writes accounts of important or historical events.
Marsupial,bandicoot,"A mammal of an order whose members are born incompletely developed and are typically carried and suckled in a pouch on the mother's belly. Marsupials are found chiefly in Australia and New Guinea, and also in America."
Utilitarian,pragmatic,Designed to be useful or practical rather than attractive.
Meager,scrimpy,(of something provided or available) lacking in quantity or quality.
Prosody,metrics,The patterns of rhythm and sound used in poetry.
Ingrate,bounder,An ungrateful person.
Ascetic,abstinent,"Characterized by severe self-discipline and abstention from all forms of indulgence, typically for religious reasons."
Insentient,insensate,Incapable of feeling or understanding things; inanimate.
Vertigo,disequilibrium,"A sensation of whirling and loss of balance, associated particularly with looking down from a great height, or caused by disease affecting the inner ear or the vestibular nerve; giddiness."
Collage,photomontage,A piece of art made by sticking various different materials such as photographs and pieces of paper or fabric on to a backing.
Atheist,heathen,A person who disbelieves or lacks belief in the existence of God or gods.
Bard,balladeer,"A poet, traditionally one reciting epics and associated with a particular oral tradition."
Condoning,tolerating,Accept (behaviour that is considered morally wrong or offensive)
Egalitarianism,commonwealth,The doctrine that all people are equal and deserve equal rights and opportunities.
Benign,benignant,Gentle and kind.
Nostalgia,homesickness,A sentimental longing or wistful affection for a period in the past.
Gustatory,sensational,Concerned with tasting or the sense of taste.
Corrugated,channelled,(of a material or surface) shaped into a series of parallel ridges and grooves so as to give added rigidity and strength.
Hallowed,anointed,Made holy; consecrated.
Tactile,tactual,Of or connected with the sense of touch.
Damp,drenched,Slightly wet.
Sidereal,stellar,"Of or with respect to the distant stars (i.e. the constellations or fixed stars, not the sun or planets)."
Artless,ingenuous,Without guile or deception.
Don,enrobe,"A university teacher, especially a senior member of a college at Oxford or Cambridge."
Coterie,circle,"A small group of people with shared interests or tastes, especially one that is exclusive of other people."
Empirical,empiric,"Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic."
Rent,hire,A tenant's regular payment to a landlord for the use of property or land.
Fusillade,hail,A series of shots fired or missiles thrown all at the same time or in quick succession.
Phenomenology,intentionality,The science of phenomena as distinct from that of the nature of being.
Prescience,prediction,The fact of knowing something in advance; foreknowledge.
Conscript,inductee,"Enlist (someone) compulsorily, typically into the armed services."
Personification,role,"The attribution of a personal nature or human characteristics to something non-human, or the representation of an abstract quality in human form."
Bombastic,grandiose,High-sounding but with little meaning; inflated.
Stolid,impassive,"Calm, dependable, and showing little emotion or animation."
Sacrosanct,revered,"(especially of a principle, place, or routine) regarded as too important or valuable to be interfered with."
Callow,inexperienced,(of a young person) inexperienced and immature.
Annex,addendum,"Add as an extra or subordinate part, especially to a document."
Inconspicuous,unobtrusive,Not clearly visible or attracting attention.
Protean,multifaceted,Tending or able to change frequently or easily.
Inviolable,sacrosanct,"Never to be broken, infringed, or dishonoured."
Navigable,passable,(of a waterway or sea) able to be sailed on by ships or boats.
Gratuitous,spontaneous,Done without good reason; uncalled for.
Suffragist,citizen,"A person advocating the extension of suffrage, especially to women."
Benevolent,benign,Well meaning and kindly.
Jingoistic,loyal,"Characterized by extreme patriotism, especially in the form of aggressive or warlike foreign policy."
Surreptitiously,covertly,In a way that attempts to avoid notice or attention; secretively.
Intelligible,comprehensible,Able to be understood; comprehensible.
Indigent,destitute,Poor; needy.
Paranoia,insanity,"A mental condition characterized by delusions of persecution, unwarranted jealousy, or exaggerated self-importance, typically worked into an organized system. It may be an aspect of chronic personality disorder, of drug abuse, or of a serious condition such as schizophrenia in which the person loses touch with reality."
